Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 VIRGINIA                                   28     2     0  2019  1583  111.049
   2 VILLANOVA                                  27     4     0  2703  2206  110.339
   3 XAVIER                                     27     4     0  2621  2323  110.269
   4 KANSAS                                     24     7     0  2525  2207  109.821
   5 DUKE                                       25     6     0  2638  2153  109.704
   6 MICH. ST.                                  29     4     0  2672  2138  109.628
   7 CINCINNATI                                 27     4     0  2345  1777  109.615
   8 PURDUE                                     28     6     0  2759  2232  109.458
   9 TENNESSEE                                  23     7     0  2231  1989  109.407
  10 AUBURN                                     25     6     0  2605  2265  109.221
  11 NORTH CAROLINA                             22     9     0  2572  2295  109.136
  12 MICHIGAN                                   28     7     0  2606  2224  108.992
  13 WICHITA STATE                              24     6     0  2493  2125  108.923
  14 TEXAS TECH                                 23     8     0  2347  2000  108.917
  15 OKLA. WESLEYAN                              1     0     0    68    66  108.882
  16 WEST VIRGINIA                              22     9     0  2493  2137  108.799
  17 CLEMSON                                    22     8     0  2197  1960  108.699
  18 ARIZONA                                    24     7     0  2514  2225  108.698
  19 UT ARLINGTON                                3     0     0   257   226  108.622
  20 KENTUCKY                                   21    10     0  2384  2206  108.605
  21 OHIO ST.                                   24     8     0  2426  2134  108.541
  22 GONZAGA                                    28     4     0  2711  2168  108.498
  23 TCU                                        21    10     0  2592  2364  108.458
  24 ARKANSAS                                   21    10     0  2542  2348  108.347
  25 TEXAS A&M                                  20    11     0  2330  2163  108.316
  26 NEVADA                                     26     6     0  2673  2314  108.276
  27 FLORIDA                                    20    11     0  2362  2142  108.239
  28 HOUSTON                                    24     6     0  2339  1956  108.236
  29 SETON HALL                                 21    10     0  2421  2241  108.148
  30 MIAMI (FLA.)                               22     8     0  2234  2027  108.125
  31 KANSAS ST.                                 21    10     0  2255  2093  108.027
  32 RHODE ISLAND                               23     6     0  2215  1961  107.931
  33 CREIGHTON                                  21    10     0  2629  2303  107.929
  34 UNCG                                        5     0     0   364   305  107.871
  35 OKLAHOMA                                   18    12     0  2580  2460  107.865
  36 MISSOURI                                   20    11     0  2285  2117  107.857
  37 ST. MARY'S (CAL.)                          28     4     0  2468  2043  107.817
  38 VIRGINIA TECH                              21    10     0  2486  2225  107.771
  39 ARIZONA ST.                                20    10     0  2504  2238  107.745
  40 TEXAS                                      18    13     0  2230  2114  107.678
  41 BUTLER                                     19    12     0  2468  2241  107.664
  42 FLORIDA STATE                              20    10     0  2461  2227  107.656
  43 USC                                        21    10     0  2424  2209  107.637
  44 UCLA                                       20    10     0  2466  2287  107.630
  45 NC STATE                                   21    10     0  2512  2292  107.620
  46 LOYOLA CHICAGO                             28     5     0  2390  2054  107.606
  47 ST. BONAVENTURE                            24     6     0  2340  2113  107.513
  48 LOUISVILLE                                 19    12     0  2375  2179  107.504
  49 MARQUETTE                                  18    12     0  2456  2348  107.481
  50 SYRACUSE                                   19    12     0  2097  1988  107.431
  51 UTAH                                       19    10     0  2139  1994  107.390
  52 BAYLOR                                     18    13     0  2349  2154  107.371
  53 PROVIDENCE                                 19    12     0  2263  2222  107.369
  54 OKLAHOMA STATE                             18    13     0  2383  2270  107.350
  55 NEBRASKA                                   22    10     0  2327  2199  107.317
  56 MIDDLE TENN.                               24     6     0  2252  1969  107.310
  57 ALABAMA                                    17    14     0  2245  2160  107.305
  58 BOISE STATE                                23     7     0  2353  2055  107.286
  59 MISSISSIPPI ST.                            21    10     0  2294  2101  107.225
  60 WASHINGTON                                 20    11     0  2311  2253  107.151
  61 OREGON                                     20    11     0  2440  2217  107.048
  62 LSU                                        17    13     0  2327  2212  107.022
  63 NEW MEXICO ST.                             25     5     0  2251  1897  107.010
  64 NOTRE DAME                                 18    13     0  2343  2118  106.901
  65 PENN ST.                                   21    13     0  2537  2275  106.843
  66 GEORGIA                                    16    14     0  2058  2018  106.806
  67 STANFORD                                   17    14     0  2351  2322  106.663
  68 MARYLAND                                   19    13     0  2338  2140  106.605
  69 SOUTH CAROLINA                             16    15     0  2164  2124  106.583
  70 TEMPLE                                     16    14     0  2088  2097  106.542
  71 MURRAY STATE                               26     5     0  2447  2032  106.481
  72 OLD DOMINION                               24     6     0  2236  1895  106.456
  73 SOUTH DAKOTA ST.                           26     6     0  2710  2374  106.437
  74 BUFFALO                                    23     8     0  2640  2378  106.436
  75 N'WEST MO. ST.                             25     3     0  2100  1703  106.419
  76 UCF                                        18    12     0  1885  1839  106.397
  77 TULSA                                      19    11     0  2213  2130  106.381
  78 WESTERN KY.                                22     9     0  2444  2198  106.332
  79 ST. JOHN'S                                 15    16     0  2264  2232  106.323
  80 SAN DIEGO STATE                            19    10     0  2244  1973  106.254
  81 BYU                                        23     9     0  2378  2140  106.235
  82 COLORADO                                   16    14     0  2143  2169  106.232
  83 LOUISIANA                                  26     5     0  2605  2199  106.182
  84 BOSTON COLLEGE                             17    14     0  2351  2277  106.160
  85 NORTHERN STATE                             30     3     0  2652  2168  105.981
