Rnk Team                           W-  L     RATE      SOS
--- ----                           --  -  -------  -------
  1 Duke                          16-  1   63.525   58.098 (  1)
  2 Michigan                      17-  1   63.015   57.227 ( 19)
  3 Kansas                        16-  1   62.832   57.426 ( 10)
  4 Arizona                       17-  1   62.761   57.309 ( 15)
  5 Florida                       14-  2   62.758   57.515 (  8)
  6 Louisville                    16-  2   62.557   57.480 (  9)
  7 Syracuse                      17-  1   62.326   56.733 ( 46)
  8 Minnesota                     16-  3   62.280   58.039 (  2)
  9 Indiana                       17-  2   61.930   56.809 ( 43)
 10 Gonzaga                       17-  2   61.905   57.170 ( 22)
 11 Creighton                     17-  2   61.518   56.669 ( 49)
 12 New Mexico                    17-  2   61.424   57.143 ( 25)
 13 Butler                        16-  2   61.372   56.809 ( 44)
 14 Miami FL                      13-  3   61.363   57.944 (  3)
 15 Oregon                        16-  2   61.318   56.388 ( 62)
 16 Cincinnati                    16-  3   61.243   56.906 ( 31)
 17 Michigan St                   16-  3   61.165   56.875 ( 35)
 18 North Carolina St             15-  3   61.077   57.369 ( 11)
 19 Kansas St                     15-  2   61.058   56.290 ( 72)
 20 Wichita St                    17-  2   61.015   56.478 ( 57)
 21 VA Commonwealth               16-  3   60.889   56.532 ( 56)
 22 Ohio State                    13-  4   60.819   57.237 ( 17)
 23 Mississippi                   15-  2   60.470   55.845 (107)
 24 Marquette                     13-  4   60.385   57.324 ( 14)
 25 Missouri                      13-  4   60.340   57.065 ( 27)
 26 Pittsburgh                    15-  4   60.301   56.260 ( 75)
 27 Notre Dame                    15-  3   60.285   56.219 ( 79)
 28 Colorado St                   15-  3   60.242   56.091 ( 86)
 29 UCLA                          16-  4   60.204   56.894 ( 33)
 30 Memphis                       14-  3   60.103   56.240 ( 77)
 31 Connecticut                   12-  5   60.006   57.540 (  7)
 32 Oklahoma St                   12-  4   59.996   56.695 ( 48)
 33 Oklahoma                      12-  4   59.983   57.194 ( 21)
 34 Wisconsin                     14-  5   59.917   56.369 ( 66)
 35 Illinois                      14-  5   59.893   57.267 ( 16)
 36 Wyoming                       16-  2   59.890   55.194 (169)
 37 UNLV                          19-  4   59.797   55.584 (128)
 38 San Diego St                  15-  4   59.761   56.035 ( 92)
 39 Iowa St                       14-  4   59.709   56.331 ( 68)
 40 Colorado                      12-  6   59.616   57.780 (  5)
 41 Belmont                       15-  4   59.563   56.095 ( 85)
 42 Iowa                          13-  5   59.540   56.566 ( 52)
 43 Kentucky                      12-  5   59.508   56.859 ( 36)
 44 Middle Tennessee St           16-  4   59.338   55.920 ( 99)
 45 Georgetown DC                 12-  4   59.325   56.302 ( 70)
 46 Baylor                        12-  5   59.311   56.565 ( 53)
 47 North Carolina                12-  5   59.270   56.921 ( 30)
 48 Maryland                      14-  4   59.217   55.788 (111)
 49 Stephen F. Austin             16-  1   59.128   52.942 (347)
 50 Temple                        12-  5   59.096   56.814 ( 40)
 51 Bucknell                      16-  3   59.046   55.047 (189)
 52 Brigham Young                 15-  5   59.040   56.176 ( 80)
 53 Arizona St                    14-  4   59.032   55.858 (106)
 54 Charlotte                     15-  3   58.944   55.351 (150)
 55 St Mary's CA                  15-  4   58.918   55.583 (129)
 56 Rutgers                       12-  5   58.915   56.727 ( 47)
 57 St Louis U.                   12-  5   58.900   56.318 ( 69)
 58 Boise St                      13-  4   58.835   55.330 (152)
 59 Texas A&M                     12-  5   58.718   56.375 ( 64)
 60 Washington                    12-  6   58.683   56.849 ( 38)
 61 Stanford                      11-  7   58.667   57.330 ( 13)
 62 Southern Miss                 15-  4   58.587   54.748 (231)
 63 La Salle                      12-  5   58.532   56.282 ( 73)
 64 Louisiana Tech                16-  3   58.509   54.857 (215)
 65 Indiana St                    12-  6   58.479   56.627 ( 50)
 66 Alabama                       11-  6   58.457   56.625 ( 51)
 67 Akron                         13-  4   58.446   55.218 (167)
 68 Arkansas                      11-  6   58.403   56.471 ( 58)
 69 Xavier OH                     11-  6   58.385   56.891 ( 34)
 70 North Dakota St               17-  4   58.280   54.251 (277)
 71 Northwestern                  11-  8   58.268   57.201 ( 20)
 72 Massachusetts                 12-  5   58.254   56.263 ( 74)
 73 California                    10-  7   58.224   57.237 ( 18)
 74 UTEP                          11-  7   58.165   56.905 ( 32)
 75 South Florida                 10-  7   58.055   57.168 ( 23)
 76 Virginia                      12-  5   57.973   55.271 (159)
 77 Florida St                    10-  7   57.972   57.067 ( 26)
 78 Central Florida               12-  5   57.921   55.498 (136)
 79 Georgia Tech                  10-  6   57.908   56.098 ( 84)
 80 Utah St                       14-  3   57.895   54.490 (256)
 81 Dayton                        10-  7   57.894   56.810 ( 42)
 82 St John's NY                  12-  7   57.847   56.027 ( 93)
 83 St Joseph's PA                10-  6   57.824   56.293 ( 71)
 84 Seton Hall                    12-  6   57.801   55.891 (101)
 85 Valparaiso                    15-  5   57.774   54.848 (216)
 86 Lehigh                        13-  4   57.773   54.655 (237)
 87 Tennessee                      9-  7   57.756   56.858 ( 37)
 88 Nebraska                      10-  9   57.742   57.710 (  6)
 89 Purdue                        10-  8   57.720   56.802 ( 45)
 90 Northern Iowa                 10-  9   57.664   57.154 ( 24)
 91 Villanova                     11-  7   57.658   56.381 ( 63)
 92 Murray St                     14-  4   57.645   54.333 (269)
 93 Ohio U.                       13-  5   57.643   54.990 (194)
 94 Santa Clara                   14-  6   57.638   54.954 (199)
 95 Virginia Tech                 11-  6   57.603   56.039 ( 91)
 96 Richmond                      13-  7   57.603   55.901 (100)
 97 Clemson                       10-  7   57.484   56.106 ( 83)
 98 Eastern Kentucky              15-  4   57.440   54.212 (282)
 99 Providence RI                 11-  8   57.427   56.364 ( 67)
100 South Dakota St               15-  6   57.368   54.954 (200)
101 Denver                        11-  7   57.364   55.742 (114)
102 Weber St                      13-  3   57.324   53.471 (326)
103 Detroit Mercy                 12-  7   57.303   55.650 (121)
104 Southern Cal                   8- 11   57.219   57.869 (  4)
105 Minn St-Mankato               15-  3   57.061   53.212 (341)
106 Tulane                        13-  5   57.042   54.473 (257)
107 West Virginia                  8-  9   57.037   57.348 ( 12)
108 Evansville                    11-  8   57.030   56.051 ( 90)
109 Loyola-Maryland               13-  6   57.020   55.049 (188)
110 New Mexico St                 12-  8   57.013   55.756 (112)
