Rnk Team                           W-  L     RATE      SOS
111 Albany NY                     16-  4   57.009   53.895 (301)
112 Harvard                        9-  6   57.005   55.794 (110)
113 Oregon St                     11-  8   56.962   55.839 (108)
114 George Mason                  11-  7   56.958   55.700 (115)
115 Illinois St                   10-  9   56.921   56.442 ( 61)
116 Boston College                 9-  8   56.917   56.564 ( 54)
117 Bryant                        14-  4   56.914   53.928 (295)
118 Stony Brook                   13-  5   56.909   54.012 (294)
119 Bradley                       12-  7   56.901   55.432 (143)
120 Western Illinois              15-  4   56.890   53.351 (335)
121 Metropolitan St               15-  0   56.885   50.322 (568)
122 Washington St                 10-  8   56.869   56.059 ( 88)
123 Air Force                     11-  6   56.863   54.866 (213)
124 Wright St                     14-  5   56.828   54.223 (278)
125 Pacific CA                    10-  8   56.773   55.875 (102)
126 Long Beach St                 10-  8   56.762   56.464 ( 59)
127 LSU                            9-  6   56.749   55.612 (125)
128 Davidson                      11-  7   56.728   55.439 (142)
129 Wake Forest                    9-  8   56.726   56.458 ( 60)
130 Iona                          12-  7   56.724   55.315 (153)
131 Texas                          8-  9   56.713   56.843 ( 39)
132 Montana                       13-  4   56.648   53.746 (310)
133 Oral Roberts                  10-  8   56.634   55.926 ( 98)
134 Nevada                        10-  7   56.632   55.870 (103)
135 Kent St                       12-  7   56.631   55.224 (166)
136 Western Washington            16-  0   56.608   50.173 (586)
137 Kentucky Wesleyan             14-  0   56.534   50.479 (541)
138 Illinois-Chicago              12-  8   56.510   55.357 (148)
139 Utah                           9-  9   56.411   55.967 ( 97)
140 Tulsa                         12-  8   56.360   55.114 (182)
141 Canisius                      12-  7   56.357   54.964 (197)
142 DePaul                        10-  8   56.351   55.647 (122)
143 Vermont                       12-  6   56.332   54.516 (251)
144 Florida Gulf Coast            13-  8   56.330   55.040 (191)
145 Assumption                    13-  2   56.268   52.524 (356)
146 Robert Morris PA              12-  7   56.258   54.922 (208)
147 Vanderbilt                     7-  9   56.239   56.976 ( 29)
148 Winona St                     16-  3   56.178   52.327 (364)
149 Princeton                      7-  7   56.144   56.059 ( 89)
150 George Washington              9-  9   56.123   55.968 ( 96)
151 Penn St                        8- 10   56.097   56.811 ( 41)
152 Niagara NY                    11-  8   56.092   55.250 (163)
153 Arkansas-Little Rock          12-  9   56.085   55.260 (161)
154 Georgia                        7- 10   56.060   57.019 ( 28)
155 Western Michigan              11-  7   56.052   54.423 (262)
156 St Bonaventure                 8-  9   56.051   56.251 ( 76)
157 Coll of Charleston            13-  7   56.026   54.573 (245)
158 UW-Green Bay                  11-  9   56.014   55.261 (160)
159 Northeastern                  17-  8   55.987   54.076 (291)
160 Drake                          8- 10   55.968   56.543 ( 55)
161 West Liberty                  16-  1   55.916   50.853 (490)
162 East Carolina                 11-  6   55.913   53.898 (300)
163 Arkansas St                   11-  7   55.900   54.583 (244)
164 Loyola-Chicago                12-  7   55.897   54.280 (275)
165 SMU                           11-  9   55.890   55.294 (156)
166 Florida Int'l                 10-  8   55.886   55.503 (135)
167 South Carolina                11-  6   55.873   54.391 (263)
168 Western Kentucky              11-  9   55.865   55.240 (164)
169 Tennessee St                  13-  8   55.820   54.345 (267)
170 Mercer                        12-  8   55.815   54.463 (258)
171 Houston                       12-  5   55.799   53.384 (333)
172 Central Michigan               9-  8   55.796   55.530 (133)
173 Southern U.                   13-  6   55.795   53.039 (345)
174 Hawai`i                       10-  8   55.787   55.181 (171)
175 Seattle Pacific               14-  2   55.754   51.176 (456)
176 Fresno St                      8- 10   55.721   56.135 ( 81)
177 Wayne St MI                   12-  2   55.721   51.793 (403)
178 Rider                         12-  9   55.695   54.949 (201)
179 Rhode Island                   7- 10   55.669   56.090 ( 87)
180 Alabama-Birmingham             8- 10   55.665   56.233 ( 78)
181 Bellarmine                    12-  2   55.654   51.301 (437)
182 Auburn                         8-  9   55.637   55.693 (117)
183 Fairfield                     10-  9   55.627   55.290 (158)
184 Cal Poly Pomona               14-  1   55.618   50.396 (555)
185 Elon                          11-  7   55.596   54.283 (273)
186 Jacksonville St               12-  7   55.492   54.043 (293)
187 Northwestern St               11-  6   55.448   53.293 (336)
188 St Thomas MN                  16-  0   55.430   48.984 (802)
189 San Francisco                  8- 11   55.412   56.112 ( 82)
190 Marshall                      10-  9   55.402   54.928 (207)
191 San Diego                     11-  9   55.384   54.818 (220)
192 Texas Tech                     8-  8   55.377   55.566 (132)
193 Newman                        14-  2   55.373   50.943 (481)
194 North Carolina Central        10-  7   55.350   53.446 (328)
195 Idaho                          7- 10   55.314   55.990 ( 94)
196 Wagner                         9-  8   55.312   55.201 (168)
197 St Anselm                     12-  3   55.300   51.994 (386)
198 Texas-Arlington                8-  8   55.263   55.368 (147)
199 UC-Irvine                     10- 10   55.238   54.769 (229)
200 Savannah St                    9-  9   55.204   55.145 (178)
201 Delaware                       8- 10   55.194   55.867 (104)
202 Towson                        10-  9   55.142   54.803 (222)
203 St Mary's TX                  12-  3   55.096   51.620 (414)
204 UC-Santa Barbara               8- 10   55.093   55.567 (131)
205 South Alabama                  9-  8   55.092   54.782 (226)
206 TCU                            9-  9   55.078   55.169 (172)
207 Charleston Southern           10-  6   55.061   53.359 (334)
208 Pepperdine                    10-  9   55.055   54.704 (235)
209 Charleston WV                 11-  2   55.000   50.814 (496)
210 Dixie St                      12-  4   54.974   51.968 (388)
211 Eastern Michigan               9-  9   54.956   55.099 (183)
212 CSU-Fullerton                 10-  8   54.913   54.204 (283)
213 Rochester NY                  16-  0   54.907   48.850 (838)
214 Adams St                      12-  2   54.885   50.977 (477)
215 St Cloud St                   13-  3   54.859   51.160 (459)
216 Columbia NY                    9-  6   54.842   53.522 (322)
217 Cleveland St                  10- 10   54.819   55.013 (193)
218 Youngstown St                 10-  8   54.815   53.608 (317)
219 Grand Canyon                  15-  4   54.789   51.676 (412)
220 Duquesne                       8- 11   54.786   55.635 (124)
221 Franklin Pierce               11-  4   54.781   52.308 (365)
222 Sam Houston St                11-  7   54.769   53.384 (332)
223 Florida Atlantic              10- 10   54.751   54.895 (211)
224 Central Missouri              12-  3   54.733   51.476 (422)
225 CSU-San Bernardino            10-  3   54.710   52.010 (385)
226 Southern Illinois              8- 10   54.694   55.046 (190)
227 Hartford                      10-  9   54.686   54.557 (248)
228 Morehead St                   10- 10   54.682   54.520 (250)
229 Upper Iowa                    13-  5   54.680   52.016 (384)
230 Boston U.                      9- 10   54.667   54.770 (228)
231 CSU-Northridge                 9- 10   54.662   54.868 (212)
232 Holy Cross MA                 10-  8   54.653   54.214 (281)
233 Cal Poly SLO                   7-  9   54.644   55.121 (180)
234 Indianapolis                  12-  2   54.636   50.162 (588)
235 Mississippi St                 7-  9   54.625   55.314 (154)
236 Grand Valley St               13-  3   54.556   50.930 (483)
237 St Francis NY                  8-  9   54.550   54.832 (217)
238 Toledo                         6-  9   54.527   55.580 (130)
239 Rollins                       13-  2   54.518   50.337 (564)
240 San José St                    9-  9   54.514   54.622 (240)
241 Southern Indiana              12-  2   54.499   50.424 (552)
242 Fort Lewis                    14-  3   54.472   50.751 (508)
243 Norfolk St                    10- 10   54.442   54.587 (243)
244 Harding                       14-  3   54.441   50.788 (501)
245 Florida Southern              12-  3   54.431   51.200 (452)
246 Ball St                        7-  9   54.421   55.166 (174)
247 Stetson                        9- 10   54.421   54.829 (218)
248 UC-Davis                       8- 10   54.419   54.903 (210)
249 UNC-Asheville                  9- 10   54.410   54.452 (259)
250 Oakland                        9- 13   54.409   55.356 (149)
251 Carleton ON                   16-  2   54.405   48.981 (805)
252 James Madison                  9- 10   54.402   54.729 (234)
253 Colorado Mesa                 12-  3   54.374   50.986 (475)
254 UW-Stevens Point              16-  2   54.366   49.869 (625)
255 Drury                         11-  4   54.335   51.203 (450)
256 Loyola Marymount               8- 11   54.311   54.978 (196)
257 St Leo                        12-  3   54.303   51.064 (468)
258 Barton                        11-  2   54.289   50.422 (553)
259 Portland                       8- 12   54.284   55.635 (123)
260 Augustana SD                  12-  4   54.284   51.634 (413)
261 South Dakota                   8- 12   54.280   55.456 (140)
262 Miami OH                       7-  9   54.250   55.055 (187)
263 S New Hampshire               10-  5   54.236   52.431 (360)
264 Minn St-Moorhead              15-  4   54.232   50.864 (489)
265 Shaw                          12-  5   54.194   51.951 (391)
266 Drexel                         6- 11   54.193   55.595 (126)
267 Alaska-Anchorage              10-  4   54.165   51.856 (399)
268 Indiana Wesleyan              20-  3   54.160   50.116 (591)
269 Indiana PA                    13-  2   54.158   49.802 (638)
270 East Stroudsburg              13-  2   54.157   49.756 (651)
271 North Central IL              16-  1   54.127   48.325 (964)
272 Brown                          7-  8   54.125   54.312 (271)
273 SE Missouri St                11- 10   54.121   53.814 (306)
274 SW Minnesota St               10-  9   54.086   53.792 (307)
275 Central Connecticut St         7- 10   54.083   55.185 (170)
276 Pittsburg St                  12-  4   54.068   51.435 (424)
277 North Carolina A&T             9- 10   54.068   54.376 (264)
278 Fairmont St                   11-  4   54.064   51.238 (444)
279 Dominican NY                  13-  3   54.056   50.774 (504)
280 McNeese St                     8-  8   54.047   54.110 (289)
281 Gardner-Webb                  10-  9   54.041   53.546 (319)
282 North Florida                  8- 12   54.036   55.299 (155)
283 Midwestern St                 12-  4   54.024   51.202 (451)
284 Michigan Tech                 12-  5   54.022   51.402 (430)
285 Georgia St                     9- 11   54.009   54.505 (253)
286 Northern St                   14-  5   53.957   51.269 (441)
287 New Haven                     10-  5   53.954   52.044 (382)
288 Lewis-Clark St ID             19-  4   53.940   49.834 (634)
289 North Texas                    8- 12   53.927   54.964 (198)
290 Columbia MO                   20-  0   53.925   47.252 (1188)
291 Louisiana-Lafayette            7- 14   53.924   55.700 (116)
292 Mt St Mary's MD                7- 10   53.898   55.157 (175)
293 NW Missouri St                12-  4   53.892   51.049 (471)
294 Jacksonville FL               10- 10   53.892   54.068 (292)
295 Bowling Green                  7- 11   53.873   54.947 (202)
296 SC-Upstate                     9- 10   53.850   53.780 (309)
297 Fordham                        5- 13   53.829   56.369 ( 65)
298 Cornell NY                     8- 10   53.822   54.756 (230)
299 Lipscomb                       7- 11   53.816   55.345 (151)
300 Southern Conn St              10-  5   53.816   52.083 (378)
301 Winston-Salem                 13-  3   53.809   50.169 (587)
302 UW-Whitewater                 14-  3   53.759   50.244 (579)
303 LIU-Brooklyn                   8- 10   53.738   54.286 (272)
304 UMass-Lowell                  10-  5   53.732   52.050 (381)
305 Westmont                      16-  4   53.724   50.286 (573)
306 Missouri St                    6- 14   53.706   55.835 (109)
307 UNC-Wilmington                 8- 10   53.706   54.370 (265)
308 Gannon                        14-  3   53.690   49.872 (623)
309 Alderson-Broaddus             10-  3   53.662   50.627 (526)
310 Seattle U.                     6- 11   53.651   55.065 (186)
311 Christopher Newport           13-  2   53.646   49.668 (666)
312 Hillsdale                     12-  4   53.600   50.821 (494)
313 Shepherd                      10-  5   53.595   51.869 (396)
314 Northern Arizona               6- 12   53.585   55.749 (113)
315 Lafayette                      8- 12   53.577   54.911 (209)
316 Incarnate Word                10-  6   53.564   52.391 (362)
317 Eastern Oregon                22-  1   53.561   48.295 (975)
318 Findlay                       11-  5   53.553   51.407 (428)
319 Sacramento St                  8-  8   53.551   53.503 (323)
320 Westminster UT                16-  5   53.517   50.103 (592)
321 Lindsey Wilson                18-  3   53.517   48.724 (869)
322 Northeastern St OK            12-  4   53.479   50.367 (561)
323 Wooster                       15-  3   53.474   49.745 (653)
324 Sacred Heart                   6- 11   53.439   55.153 (176)
325 Campbell                       9- 10   53.392   53.878 (304)
326 Buffalo                        7- 13   53.384   54.793 (224)
327 Anderson SC                   11-  4   53.371   51.107 (466)
328 Nova Southeastern              9-  5   53.367   51.957 (390)
329 Yale                           6- 12   53.367   55.149 (177)
330 WPI                           18-  0   53.356   47.264 (1186)
331 Wofford                        7- 12   53.348   54.743 (232)
332 Monmouth NJ                    7- 12   53.347   55.071 (184)
333 CSU-Bakersfield                7- 13   53.342   54.981 (195)
334 St Mary's MD                  16-  2   53.335   48.942 (816)
335 Georgia Southern               8- 11   53.302   54.222 (279)
336 Utah Valley St                 9- 11   53.259   53.913 (298)
337 IPFW                          10- 12   53.258   53.559 (318)
338 Texas Southern                 5- 14   53.255   55.866 (105)
339 Quinnipiac                     6- 12   53.255   54.944 (205)
340 Coastal Carolina               8-  8   53.234   52.558 (354)
341 Washburn                      10-  4   53.227   50.632 (524)
342 Army                           8- 10   53.201   53.639 (314)
343 Chattanooga                    8- 11   53.192   54.151 (287)
344 Hampden-Sydney                16-  2   53.186   48.294 (977)
345 West Texas A&M                11-  5   53.183   50.800 (498)
346 McMurry                       10-  5   53.182   51.169 (458)
347 Randolph Coll                 15-  2   53.156   48.232 (989)
348 Troy                           7- 12   53.151   54.600 (242)
349 Pikeville                     18-  2   53.139   47.994 (1049)
350 Bethune-Cookman                8- 12   53.130   54.174 (285)
351 St Thomas FL                  17-  4   53.125   49.460 (693)
352 Wayne St NE                   12-  6   53.123   51.112 (464)
353 Stevens Tech                  14-  1   53.120   47.675 (1107)
354 Whitworth                     16-  2   53.115   48.735 (865)
355 Fairleigh Dickinson            7- 12   53.110   54.815 (221)
356 CSU-Dominguez Hills           10-  7   53.105   52.149 (374)
357 UMKC                           6- 14   53.096   55.666 (120)
358 Arkansas-Pine Bluff            6- 12   53.084   55.473 (137)
359 Williams                      16-  1   53.077   47.662 (1111)
360 Alabama-Huntsville            14-  5   53.075   50.761 (506)
361 Stonehill                      8-  7   53.065   52.796 (350)
362 William & Mary                 7- 10   53.063   53.892 (302)
363 Arkansas-Fort Smith           10-  6   53.051   51.557 (419)
364 Science & Arts OK             11-  4   53.050   50.645 (522)
365 Texas St-San Marcos            5- 14   53.044   55.504 (134)
366 New Jersey Tech                9-  9   53.022   52.668 (352)
367 Northwood FL                  18-  2   53.020   47.902 (1066)
368 Texas-Pan American            10- 10   53.011   53.051 (344)
369 North Dakota                   7- 10   53.010   53.786 (308)
370 Guilford                      13-  3   53.006   49.602 (675)
371 St Peter's                     6- 12   53.005   54.821 (219)
372 Catholic                      15-  3   53.002   48.946 (813)
373 Lincoln Memorial              12-  2   52.983   48.525 (916)
374 High Point                     8-  9   52.974   52.879 (349)
375 Fort Hays St                  10-  5   52.966   50.675 (518)
376 Maryville MO                  15-  6   52.953   50.748 (509)
377 Rose-Hulman                   15-  2   52.938   48.110 (1023)
378 CSU-San Marcos                16-  6   52.932   50.318 (569)
379 Manhattan                      5- 13   52.929   55.390 (145)
380 William Penn                  21-  1   52.921   47.017 (1235)
381 Samford                        7- 12   52.910   54.645 (238)
382 Marist                         5- 14   52.892   55.386 (146)
383 Missouri-St Louis             10-  5   52.876   50.885 (486)
384 Colgate                        6- 13   52.846   55.124 (179)
385 Chaminade                      7-  8   52.839   53.282 (337)
386 Warner Pacific                18-  4   52.820   48.953 (812)
387 Winthrop                       7- 10   52.819   53.628 (315)
388 Radford                        9- 10   52.789   52.946 (346)
389 California Baptist             9-  5   52.781   50.965 (479)
390 Tennessee Tech                 7- 11   52.779   53.884 (303)
391 VMI                           10-  8   52.778   51.932 (394)
392 Young Harris                  11-  4   52.773   50.392 (557)
393 Tampa                         13-  4   52.770   49.864 (626)
394 Wheaton IL                    13-  4   52.766   49.537 (685)
395 Delaware St                    6- 10   52.755   54.160 (286)
396 Arkansas Tech                  9-  6   52.747   51.815 (401)
397 Eckerd                         9-  4   52.739   50.740 (512)
398 Western Carolina               8- 11   52.737   53.536 (320)
399 San Francisco St               8-  6   52.730   52.108 (377)
400 American U.                    7- 12   52.717   54.495 (255)
401 Illinois Wesleyan             14-  3   52.712   49.148 (762)
402 St Rose                        8-  7   52.706   52.234 (368)
403 SE Oklahoma St                10-  5   52.704   50.812 (497)
404 Wingate                       10-  4   52.691   49.992 (605)
405 SIU-Edwardsville               7- 10   52.678   53.489 (325)
406 East Tennessee St              5- 14   52.669   55.589 (127)
407 Nicholls St                    4- 12   52.651   55.667 (119)
408 Ramapo                        16-  2   52.643   48.296 (974)
409 TAMU-Int'l                     9-  6   52.635   51.427 (425)
410 Bethel IN                     18-  4   52.599   48.864 (832)
411 Morgan St                      5-  9   52.598   54.132 (288)
412 Virginia Wesleyan             12-  4   52.598   49.842 (632)
413 Maine                          7- 11   52.595   53.661 (313)
414 UW-Stout                      13-  4   52.593   49.208 (738)
415 Lee TN                        17-  1   52.591   47.363 (1166)
416 Ohio Wesleyan                 13-  3   52.590   49.056 (783)
417 Lewis                          9-  5   52.576   50.544 (532)
418 St Thomas TX                  12-  4   52.558   49.722 (656)
419 Montana St                     5-  9   52.534   53.915 (297)
420 Doane                         20-  3   52.517   48.506 (922)
421 Cardinal Stritch              20-  3   52.511   48.106 (1024)
422 Fresno Pacific                11-  8   52.499   51.467 (423)
423 Hofstra                        5- 13   52.495   54.944 (204)
424 Lindenwood                    11-  4   52.494   49.674 (664)
425 Transylvania                  13-  4   52.492   49.606 (674)
426 CSU-Los Angeles                9-  5   52.484   50.375 (560)
427 Portland St                    5- 10   52.479   54.341 (268)
428 Appalachian St                 7- 10   52.478   53.244 (340)
429 LIU-C.W. Post                 11-  4   52.466   49.860 (627)
430 IUPUI                          7- 16   52.454   54.776 (227)
431 SE Louisiana St                5- 11   52.454   54.932 (206)
432 Brandeis                      14-  2   52.446   48.188 (1004)
433 TAMU-Kingsville                9-  6   52.446   51.218 (449)
434 Middlebury                    15-  0   52.446   46.401 (1303)
435 Louisiana-Monroe               3- 12   52.436   55.972 ( 95)
436 Xavier NO                     17-  3   52.434   48.809 (848)
437 Oklahoma Baptist U.           16-  4   52.427   48.219 (993)
438 Chico St                       8-  6   52.405   51.129 (462)
439 Slippery Rock                 12-  4   52.400   49.810 (637)
440 Alaska-Fairbanks              10-  5   52.396   50.473 (543)
441 Walsh                         11-  4   52.388   49.668 (665)
442 Evangel                       14-  5   52.367   49.734 (654)
443 SW Assem of God               16-  3   52.337   48.552 (911)
444 McGill                        14-  4   52.332   49.368 (717)
445 UW-Milwaukee                   5- 14   52.319   54.945 (203)
446 Central Washington            10-  6   52.319   50.946 (480)
447 Limestone                     11-  5   52.310   50.277 (574)
448 Texas-San Antonio              4- 13   52.308   55.233 (165)
449 Embry-Riddle FL               17-  5   52.294   48.910 (821)
450 Navy                           7- 12   52.264   53.494 (324)
451 Northwestern IA               15-  5   52.260   49.405 (711)
452 Livingstone                   13-  3   52.244   48.852 (836)
453 Rogers St                     15-  5   52.236   49.181 (754)
454 North Georgia                 10-  4   52.232   50.131 (590)
455 Southern Utah                  5- 11   52.227   54.348 (266)
456 Lake Superior St               9-  6   52.225   51.223 (446)
457 Alcorn St                      7- 15   52.217   54.423 (261)
458 Dordt                         17-  5   52.206   49.089 (774)
459 Sioux Falls                    8-  9   52.197   52.286 (367)
460 TAMU-Commerce                 11-  7   52.184   51.100 (467)
461 IU Southeast                  17-  3   52.168   48.392 (945)
462 Augustana IL                  13-  4   52.168   48.890 (824)
463 North Alabama                 12-  4   52.162   49.282 (723)
464 Montana St-Northern           17-  4   52.150   48.595 (895)
465 Alvernia                      12-  3   52.145   48.712 (872)
466 Central Arkansas               6- 10   52.142   53.402 (331)
467 Merrimack                      7-  9   52.140   52.638 (353)
468 St Xavier                     19-  4   52.132   48.377 (950)
469 Bentley                        7-  8   52.126   52.435 (359)
470 Hastings                      17-  6   52.114   49.530 (686)
471 Cumberlands KY                15-  5   52.109   49.324 (720)
472 Siena                          4- 15   52.107   55.252 (162)
473 St Edward's                   12- 11   52.104   51.724 (408)
474 Georgetown KY                 13-  4   52.095   48.822 (847)
475 Coppin St                      4- 15   52.084   55.459 (139)
476 Oklahoma Christian            10-  6   52.082   50.527 (533)
477 Le Moyne                       7-  8   52.079   52.213 (369)
478 UC-Riverside                   5- 13   52.078   54.568 (247)
479 Pace                           8-  7   52.076   51.715 (409)
480 Idaho St                       5- 13   52.069   54.740 (233)
481 King TN                       13-  4   52.069   49.115 (769)
482 Washington MO                 12-  4   52.057   49.027 (789)
483 Northern Colorado              5- 11   52.055   54.217 (280)
484 Millersville                  12-  5   52.048   49.687 (661)
485 Lynn                           9-  6   52.039   50.815 (495)
486 Ryerson                       11-  2   52.031   48.117 (1020)
487 Northern Kentucky              4- 11   52.022   54.508 (252)
488 Cameron                        9-  7   52.002   51.285 (439)
489 SC-Aiken                       9-  5   52.000   50.520 (534)
490 Holy Family                   10-  7   51.990   51.174 (457)
491 Concord                        9-  5   51.989   50.619 (528)
492 Alabama A&M                    7- 10   51.977   53.187 (343)
493 Wesley DE                     15-  4   51.964   48.784 (854)
494 Montana St-Billings           11-  9   51.963   51.401 (431)
495 Shorter                       12-  4   51.958   48.845 (842)
496 Albright                      14-  3   51.954   48.587 (900)
497 West Chester                  10-  5   51.954   50.331 (565)
498 William Carey                 16-  6   51.942   49.481 (691)
499 Johnson C. Smith              12-  5   51.937   49.585 (676)
500 Calvin                        15-  3   51.934   47.971 (1055)
501 Montana-Western               15-  7   51.932   49.953 (609)
502 Philadelphia                  10-  6   51.932   50.668 (519)
503 Northwest Nazarene            10-  7   51.930   50.998 (472)
504 Tarleton St                    9-  6   51.922   50.668 (520)
505 Rice                           4- 13   51.921   55.070 (185)
506 Missouri Southern              9-  6   51.916   50.746 (510)
507 Northwest WA                  19-  4   51.902   48.073 (1033)
508 BYU-Hawai`i                    9-  6   51.892   50.789 (500)
509 Pennsylvania                   3- 14   51.890   55.462 (138)
510 Montevallo                    10-  5   51.885   50.148 (589)
511 Davenport                     17-  4   51.876   47.711 (1099)
512 Franklin & Marshall           14-  3   51.853   48.255 (984)
513 Christian Brothers            10-  5   51.849   49.942 (611)
