Rnk Team                           W-  L     RATE      SOS
511 Grinnell                      11-  1   51.426   47.095 (1199)
512 Augusta St                     8-  6   51.421   50.574 (517)
513 Kennesaw St                    3- 15   51.408   55.560 (118)
514 Central Washington             8-  7   51.408   50.668 (503)
515 Concordia QC                   9-  6   51.403   49.972 (610)
516 Edgewood                      12-  3   51.398   48.248 (940)
517 SIU-Edwardsville               5- 10   51.396   53.331 (319)
518 Sacramento St                  6- 11   51.380   52.785 (337)
519 Dartmouth                      4- 13   51.379   54.165 (240)
520 Mercyhurst                     9-  6   51.355   50.396 (542)
521 Lake Superior St               8-  8   51.340   51.193 (426)
522 Longwood                       6- 12   51.334   53.661 (290)
523 Augustana IL                  11-  4   51.323   48.263 (935)
524 Mount Olive                    9-  6   51.320   50.261 (565)
525 Howard                         4- 15   51.319   55.038 (165)
526 LIU-C.W. Post                 11-  4   51.315   48.794 (821)
527 Delaware St                    4- 10   51.314   53.540 (301)
528 TAMU-Corpus Christi            2- 14   51.308   55.550 (120)
529 Vanguard                      11-  8   51.292   50.471 (527)
530 Briar Cliff                   14-  6   51.283   49.116 (751)
531 Rose-Hulman                   12-  3   51.279   47.569 (1094)
532 Fort Lewis                     8-  7   51.258   50.959 (461)
533 UW-La Crosse                  11-  5   51.248   49.030 (774)
534 St Xavier                     13-  5   51.239   48.187 (953)
535 Colorado St-Pueblo             8-  7   51.236   50.929 (464)
536 WPI                           12-  3   51.225   47.872 (1031)
537 SW Assem of God               12-  4   51.220   48.349 (911)
538 Brown                          5- 12   51.217   53.500 (304)
539 Eastern Oregon                13-  5   51.216   48.408 (897)
540 Nebraska-Omaha                 7- 12   51.201   52.717 (339)
541 Maryville MO                   9-  6   51.194   49.887 (623)
542 Cedarville                     9-  7   51.190   50.639 (511)
543 Nicholls St                    5- 12   51.161   53.866 (274)
544 UPEI                           7-  3   51.156   49.053 (771)
545 Pikeville                     11-  9   51.156   50.420 (533)
546 UBC                           12-  7   51.154   49.682 (660)
547 Hardin-Simmons                12-  2   51.148   47.191 (1183)
548 Victoria                      12-  8   51.136   50.136 (582)
549 Tougaloo                      14-  5   51.136   48.382 (907)
550 California PA                  9-  7   51.129   50.424 (532)
551 Notre Dame CA                  5-  9   51.124   52.623 (344)
552 Mt St Mary's MD                4- 13   51.116   54.220 (237)
553 Chestnut Hill                 12-  6   51.109   49.500 (683)
554 St Martin's                    8-  9   51.106   51.440 (405)
555 North Alabama                  9-  6   51.101   49.960 (612)
556 Oklahoma Christian            11-  6   51.089   48.999 (778)
557 McPherson                     18-  3   51.069   47.108 (1194)
558 IU Southeast                  13-  6   51.068   48.883 (801)
559 Spring Arbor                  13-  8   51.060   49.707 (655)
560 Newberry                       8-  5   51.058   49.811 (642)
561 Indiana Tech                  15-  4   51.041   47.403 (1139)
562 New Orleans                   11-  9   51.035   50.774 (490)
563 Kutztown                       9-  5   51.031   49.274 (722)
564 Jacksonville FL                2- 15   51.023   55.391 (132)
565 Pitt-Johnstown                 8-  7   51.023   50.587 (516)
566 Jamestown                     15-  7   51.020   48.530 (875)
567 Clarion                       11-  5   51.014   48.935 (788)
568 Hanover                       10-  4   51.005   48.449 (886)
569 Northwest Nazarene             9-  7   50.993   50.177 (575)
570 Concord                        8-  7   50.987   50.643 (510)
571 Francis Marion                 8-  6   50.985   50.389 (543)
572 Loyola NO                     11-  9   50.980   50.501 (522)
573 St Francis IN                 13-  7   50.975   49.273 (723)
574 Hawai`i-Hilo                   6-  6   50.975   51.120 (438)
575 Shepherd                       8-  7   50.974   50.797 (481)
576 Gustavus Adolphus              9-  4   50.971   48.912 (793)
577 Lee TN                        12-  4   50.959   48.438 (891)
578 Cumberland TN                 12-  4   50.951   48.268 (932)
579 Monmouth NJ                    3- 16   50.947   55.195 (150)
580 John Brown                    13-  5   50.946   47.938 (1021)
581 Hawai`i Pacific                5-  6   50.940   51.320 (412)
582 South Carolina St              4- 13   50.935   54.417 (220)
583 Harding                        7-  6   50.929   50.256 (566)
584 Williams                      13-  3   50.920   47.364 (1148)
585 Canisius                       4- 13   50.914   53.991 (256)
586 Wittenberg                    12-  4   50.908   48.272 (930)
587 Huntington IN                 13-  7   50.906   49.236 (732)
588 William & Mary                 4- 14   50.901   54.282 (232)
589 Staten Island                 11-  4   50.894   48.015 (998)
590 Hobart                        11-  2   50.886   46.688 (1252)
591 Liberty                        6- 14   50.875   52.973 (333)
592 Randolph-Macon                13-  4   50.874   48.153 (963)
593 Indiana Wesleyan              12-  8   50.859   49.737 (652)
594 Albertus Magnus               12-  1   50.856   45.553 (1367)
595 St Edward's                    9-  8   50.844   50.434 (530)
596 Valor Christian                6-  1   50.843   46.997 (1213)
597 Wingate                        8-  8   50.841   50.790 (485)
598 Philadelphia                   9-  4   50.837   48.737 (832)
599 Lindsey Wilson                13-  7   50.827   49.058 (770)
600 Stevens Tech                  12-  2   50.822   46.711 (1248)
601 St Leo                         8-  7   50.813   50.112 (585)
602 Birmingham-Southern           14-  1   50.812   45.890 (1342)
603 Sioux Falls                    7-  7   50.808   50.650 (508)
604 Chicago St                     2- 16   50.805   55.934 ( 90)
605 IU East                       16-  4   50.801   47.354 (1150)
606 Tennessee-Martin               3- 16   50.785   54.906 (173)
607 Ouachita Baptist              10-  4   50.777   48.326 (914)
608 TAMU-Commerce                  6- 10   50.777   52.227 (364)
609 Cumberlands KY                10-  6   50.756   49.493 (684)
610 Life GA                       10-  7   50.751   49.793 (646)
611 Le Moyne                       9-  6   50.751   49.621 (670)
612 Catholic                      13-  4   50.750   47.955 (1011)
613 Abilene Christian              7- 10   50.749   51.712 (390)
614 New Jersey City               13-  3   50.747   46.941 (1221)
615 Southern Oregon               13-  8   50.735   49.505 (682)
616 Alberta                        9- 10   50.731   51.191 (428)
617 Lewis & Clark OR               8-  8   50.725   50.874 (470)
618 Columbia MO                   14-  5   50.721   47.629 (1084)
619 North Georgia                  7-  8   50.714   50.970 (458)
620 Belmont Abbey                  9-  5   50.711   48.931 (789)
621 Jackson St                     3- 14   50.706   55.335 (134)
622 Louisiana-Monroe               4- 17   50.695   54.349 (229)
623 Dominican NY                   9-  5   50.693   49.312 (716)
624 Merrimack                      7-  8   50.686   50.951 (462)
625 Midland U.                    11-  8   50.657   49.691 (659)
626 Bridgeport                    10-  6   50.649   49.284 (719)
627 John Carroll                  11-  5   50.645   48.809 (817)
628 Concordia-St Paul              6-  9   50.645   51.635 (396)
629 Illinois-Springfield           6-  9   50.634   51.743 (388)
630 New Mexico Highlands           8-  8   50.629   50.609 (514)
631 Great Falls                   12-  8   50.625   49.116 (750)
632 The Citadel                    4- 13   50.602   53.537 (302)
633 Chicago                        9-  5   50.596   48.897 (797)
634 Chapman                       10-  6   50.589   49.428 (697)
635 Lubbock Christian              8-  9   50.589   50.684 (499)
636 Mary Washington               12-  4   50.559   47.900 (1025)
637 Wiley                         10-  5   50.537   48.728 (834)
638 Evangel                       14-  5   50.520   47.711 (1066)
639 Armstrong Atl St               7-  9   50.519   51.074 (443)
640 Dubuque                       11-  3   50.513   47.525 (1107)
641 S New Hampshire                9-  7   50.494   49.732 (653)
642 Rockhurst                      5-  9   50.493   52.414 (354)
643 East Stroudsburg               9-  7   50.472   49.381 (701)
644 Ramapo                        12-  4   50.461   47.493 (1116)
645 Adrian                        10-  4   50.431   48.112 (980)
646 Wesleyan                      12-  4   50.421   47.337 (1152)
647 Hope Int'l                     8-  7   50.418   49.945 (617)
648 Central IA                    11-  2   50.397   46.503 (1278)
649 St Joseph's LI                11-  2   50.380   46.245 (1311)
650 Union TN                      10-  7   50.373   49.263 (725)
651 Northern Illinois              2- 13   50.368   54.688 (191)
652 Bethany WV                    14-  2   50.367   45.799 (1348)
653 West Virginia St               7-  7   50.358   50.499 (523)
654 Taylor                        14-  7   50.357   48.289 (926)
655 Morningside                   12-  8   50.325   49.109 (752)
656 Col. Montmorency               4-  4   50.322   50.090 (592)
657 Cornerstone                   12-  8   50.317   49.134 (747)
658 St Augustine's                 8-  6   50.304   49.465 (688)
659 Embry-Riddle FL               11-  7   50.293   49.097 (756)
660 Seton Hill                     6-  8   50.286   51.050 (446)
661 Bryant                         2- 15   50.272   54.854 (178)
662 Upper Iowa                     5- 10   50.269   51.959 (377)
663 Washington Adventist           7-  8   50.259   50.690 (498)
664 St Thomas TX                   9-  6   50.246   49.144 (745)
665 Christopher Newport           12-  4   50.242   47.423 (1132)
666 Henderson St                   8-  7   50.228   49.710 (654)
667 Bethel IN                     12-  7   50.227   48.922 (790)
668 Gannon                         8-  6   50.214   49.248 (730)
669 Scranton                      12-  5   50.210   47.914 (1022)
670 Valdosta St                    7-  7   50.208   50.236 (570)
671 Florida A&M                    3- 15   50.206   53.963 (260)
672 Minn St-Mankato                6- 10   50.194   51.522 (399)
673 St Catharine                   7- 10   50.173   51.127 (436)
674 John Abbott                    4-  4   50.167   50.109 (586)
675 DePauw                        10-  5   50.155   48.244 (942)
676 Whittier                      10-  5   50.148   48.174 (958)
677 Missouri Western               6-  9   50.147   51.089 (440)
678 Slippery Rock                  9-  5   50.142   48.289 (925)
679 William Jewell                 4-  8   50.140   51.666 (393)
680 UCCB                           5-  3   50.129   48.846 (812)
681 Fraser Valley                 11- 10   50.123   49.840 (632)
682 McMaster                      10-  4   50.107   47.488 (1119)
683 Cardinal Stritch              16-  6   50.095   47.569 (1093)
684 Keene St                      10-  4   50.094   47.444 (1128)
685 Valley City St                16-  8   50.068   48.016 (997)
686 Pomona-Pitzer                  8-  6   50.065   49.024 (775)
687 St Anselm                      7-  8   50.064   50.296 (562)
688 MD-Baltimore County            2- 14   50.050   54.487 (211)
689 Alvernia                      10-  4   50.047   47.711 (1065)
690 Ripon                          9-  4   50.046   47.789 (1050)
691 Tiffin                         8- 10   50.042   50.425 (531)
692 Texas-Dallas                  12-  4   50.038   47.202 (1181)
693 Simon Fraser                   6-  9   50.034   50.779 (488)
694 Tusculum                       7-  7   50.034   49.949 (615)
695 Augsburg                      10-  4   50.008   47.298 (1161)
696 St Mary's MD                  10-  6   50.007   48.789 (823)
697 Marietta                       9-  6   50.002   49.157 (743)
698 Pace                           8-  7   49.999   49.438 (694)
699 Lewis-Clark St ID             13-  8   49.991   48.131 (971)
700 St Michael's                   7-  8   49.987   50.373 (548)
701 Arkansas-Pine Bluff            1- 16   49.985   55.489 (126)
702 Marian IN                     11-  8   49.981   49.071 (764)
703 Col-Colorado Springs           7- 10   49.974   50.993 (453)
704 Luther                        11-  3   49.961   46.864 (1229)
705 Radford                        3- 16   49.954   53.922 (266)
706 Edinboro                       9-  5   49.947   48.229 (943)
707 Hampden-Sydney                12-  3   49.940   46.487 (1281)
708 Chowan                         6- 10   49.939   51.160 (432)
709 Southern Arkansas              9-  6   49.935   48.533 (873)
710 Carver Bible                   8- 12   49.930   50.995 (452)
711 Wilkes                        11-  3   49.922   46.258 (1308)
712 Puget Sound                   11-  4   49.903   47.326 (1155)
713 Walsh                         12-  2   49.900   45.129 (1399)
714 Northern Michigan              7-  8   49.900   50.087 (593)
715 Virginia Union                 8- 10   49.888   50.412 (536)
716 Lenoir-Rhyne                   7-  8   49.885   50.121 (583)
717 Miami-Middletown              12-  2   49.882   44.942 (1405)
718 Brooklyn                      10-  3   49.878   46.635 (1258)
719 Shawnee St                     9-  8   49.868   49.478 (686)
720 Angelo St                      7- 10   49.868   50.876 (469)
721 Windsor                       13-  9   49.867   48.689 (843)
722 Keystone                      11-  2   49.865   46.026 (1331)
723 Caldwell                       9-  6   49.851   48.751 (829)
724 Alcorn St                      4- 13   49.840   53.227 (324)
725 San Francisco St               4- 11   49.839   52.552 (347)
726 Southern Conn St               7-  8   49.784   50.082 (595)
727 NW Oklahoma St                 7- 11   49.778   50.809 (477)
728 Navy                           3- 14   49.773   53.242 (323)
729 Rochester NY                   9-  5   49.764   48.188 (952)
730 Ashford                       13-  6   49.757   47.409 (1137)
731 Southeastern FL               11-  8   49.755   48.743 (830)
732 Redlands                       6-  9   49.752   50.983 (454)
733 Carroll MT                     8-  8   49.729   49.861 (627)
734 Mount Mercy                   13-  5   49.724   47.396 (1141)
735 Trevecca Nazarene             11-  8   49.723   49.094 (757)
736 Lynn                           9-  8   49.708   48.888 (799)
737 Richard Stockton              10-  6   49.702   48.300 (920)
738 St John's MN                   8-  5   49.698   48.338 (913)
739 Becker                         8-  4   49.687   47.727 (1060)
740 Concordia WI                  10-  3   49.685   46.577 (1265)
741 Avila                         11-  8   49.676   48.728 (835)
742 Buffalo St                    11-  4   49.674   47.358 (1149)
743 Coker                          7-  7   49.666   49.589 (676)
744 UW-Eau Claire                 10-  7   49.656   48.711 (841)
745 Southwestern KS               17-  5   49.652   46.568 (1270)
746 Carroll WI                     8-  5   49.647   48.381 (908)
747 Springfield                   10-  5   49.642   47.637 (1080)
748 Concordia OR                  11-  9   49.635   48.742 (831)
749 Juniata                       12-  4   49.634   46.768 (1243)
750 Assumption                     7-  8   49.632   49.826 (637)
751 Western St                     6-  9   49.625   50.975 (457)
752 Hartwick                      13-  2   49.624   45.704 (1354)
753 St Norbert                     9-  5   49.616   47.975 (1008)
754 Voorhees                      10-  6   49.616   48.119 (975)
755 North Greenville               6-  5   49.607   49.019 (776)
756 Alabama A&M                    3- 11   49.604   53.341 (318)
757 Rocky Mountain                10- 10   49.597   49.465 (689)
758 Lynchburg                     10-  6   49.596   48.299 (922)
759 Albright                      10-  5   49.594   47.443 (1129)
760 Tufts                         10-  4   49.570   47.291 (1164)
761 Trinity Western                7-  9   49.569   50.318 (558)
762 Dakota Wesleyan               12-  9   49.550   48.635 (853)
763 Montclair St                  14-  4   49.549   46.119 (1323)
764 Hartford                       2- 14   49.541   53.799 (279)
765 Daemen                        11-  8   49.536   48.565 (867)
766 Benedictine KS                11-  8   49.527   48.820 (815)
767 MidAmerica Nazarene           12-  7   49.525   47.830 (1041)
768 Hamline                        7-  6   49.517   49.064 (768)
769 Malone                         8-  9   49.510   49.957 (613)
770 Hiram                         10-  6   49.503   48.316 (915)
771 Wayne St NE                    4- 11   49.487   52.014 (374)
772 St Mary KS                    14-  6   49.486   47.399 (1140)
773 Goldey-Beacom                  7-  6   49.485   49.102 (755)
774 Mid-America Christian          8- 11   49.483   50.309 (560)
775 Olivet Nazarene                8-  9   49.475   49.852 (629)
776 Truman St                      5- 11   49.470   51.285 (413)
777 Oswego St                     11-  3   49.466   46.170 (1319)
778 Brandeis                       8-  6   49.455   48.723 (837)
779 California Maritime           11- 10   49.452   49.208 (736)
780 Mobile                         8- 11   49.448   50.243 (568)
781 Grambling St                   2- 13   49.446   54.661 (194)
782 South Dakota Tech              8-  9   49.440   49.664 (666)
783 Ottawa ON                      8-  6   49.421   48.578 (864)
784 Western New Mexico             5- 11   49.413   51.325 (411)
785 Dominican CA                   3- 13   49.406   52.767 (338)
786 Ohio Valley                    5-  9   49.403   51.242 (419)
787 UC-Davis                       2- 16   49.401   54.056 (246)
788 Benedict                       7-  4   49.396   48.089 (982)
789 Spring Hill                   10- 11   49.389   49.872 (625)
790 Messiah                        9-  5   49.373   47.574 (1091)
791 Franklin                       9-  7   49.372   48.878 (805)
792 SE Oklahoma St                 5- 11   49.360   51.157 (434)
793 Lakeland WI                   11-  3   49.359   46.059 (1329)
794 Wilmington DE                  6-  9   49.358   50.338 (553)
795 Holy Names                    10- 12   49.347   49.838 (634)
796 Limestone                      8-  9   49.344   49.644 (668)
797 Guilford                      11-  6   49.343   47.856 (1034)
798 Penn St-Harrisburg            12-  3   49.333   45.995 (1333)
799 St Ambrose                    11- 10   49.327   48.720 (838)
800 Pacific Lutheran               7-  9   49.327   49.832 (636)
801 Southern Virginia              8-  6   49.323   48.553 (869)
802 Fairleigh Dickinson            1- 15   49.321   54.530 (208)
803 West Alabama                   4- 12   49.314   52.323 (359)
804 St Joseph's ME                 9-  3   49.314   46.462 (1287)
805 Grand View                     9-  6   49.309   48.304 (917)
806 Warner U.                     11-  7   49.308   47.994 (1003)
807 Thiel                         10-  5   49.306   47.475 (1123)
808 Lakeland AB                   12-  1   49.297   44.158 (1439)
809 Carson-Newman                  9-  7   49.294   48.390 (905)
810 San Diego Christian            5- 14   49.290   51.905 (381)
811 Towson                         0- 18   49.284   56.224 ( 63)
812 Dakota St                     10- 11   49.281   49.351 (712)
813 Ave Maria                     10-  7   49.265   47.946 (1015)
814 LSU-Shreveport                 8-  6   49.265   48.378 (910)
815 Davis & Elkins                 4-  9   49.249   51.159 (433)
816 Capital                        9-  6   49.246   48.191 (951)
817 Andrews                        9-  2   49.243   45.669 (1358)
818 Mount Marty                    9-  9   49.233   49.326 (715)
819 Bluffton                      10-  5   49.226   47.381 (1143)
820 Clarke IA                     11-  7   49.221   48.120 (974)
821 Centre                        10-  5   49.203   47.277 (1167)
822 Widener                       10-  5   49.180   47.188 (1184)
823 Holy Family                    7-  8   49.151   49.336 (714)
824 Fayetteville St                4-  7   49.148   50.467 (528)
825 Salem St                       8-  6   49.144   48.303 (918)
826 Carthage                       8-  7   49.130   48.395 (903)
827 Coe                           10-  6   49.125   47.711 (1064)
828 Trinity CT                    10-  5   49.118   46.914 (1223)
829 Emmanuel GA                   11-  9   49.117   48.300 (921)
830 Hastings                      10- 12   49.110   49.618 (672)
831 Lincoln PA                     7-  8   49.106   49.451 (692)
832 UW-Platteville                 9-  7   49.106   48.308 (916)
833 Fairmont St                    5-  8   49.099   50.082 (594)
834 Lincoln MO                     3- 12   49.091   52.498 (349)
835 Apprentice                     7-  3   49.088   46.806 (1239)
836 UW-Superior                   10-  7   49.079   48.264 (934)
837 Baker                         11-  8   49.071   48.128 (972)
838 West Chester                   6-  8   49.068   49.701 (656)
839 Trinity TX                     9-  6   49.060   48.181 (954)
840 North Central IL               9-  6   49.053   47.841 (1037)
841 UQAM                           3-  4   49.053   49.819 (640)
842 Minn-Crookston                 6- 10   49.053   50.278 (564)
843 Wayland Baptist                8- 10   49.048   49.405 (700)
844 St Olaf                        7-  7   49.042   48.905 (794)
845 Southern-New Orleans           8-  7   49.040   48.673 (846)
846 Manitoba                      11-  6   49.009   47.582 (1090)
847 Nazareth                      10-  5   48.996   46.984 (1215)
848 Graceland                     11-  8   48.963   48.178 (956)
849 Aquinas                        9- 11   48.960   49.280 (721)
850 Rochester MI                  14-  7   48.955   46.110 (1324)
851 Corban                        11- 10   48.944   48.481 (881)
852 Baldwin-Wallace                9-  6   48.934   47.638 (1079)
853 Dawson                         3-  6   48.929   50.555 (520)
854 York PA                        9-  7   48.922   48.208 (946)
855 Ohio Northern                  8-  7   48.920   48.559 (868)
856 Paine                          8-  4   48.906   47.248 (1171)
857 East Texas Baptist             9-  6   48.884   47.815 (1045)
858 Muhlenberg                    10-  4   48.883   46.567 (1271)
859 Barry                          8-  9   48.865   49.109 (753)
860 Bluefield VA                  13- 10   48.819   48.152 (964)
861 St Francis IL                  8-  8   48.794   48.884 (800)
862 Texas-Permian Basin            6- 11   48.790   50.061 (598)
863 McKendree                     12-  9   48.789   47.754 (1058)
864 Lebanon Valley                 9-  6   48.761   47.758 (1057)
865 Calvin                         8-  8   48.752   48.816 (816)
866 Shippensburg                   6- 10   48.748   49.845 (631)
867 Philander Smith                7- 10   48.745   49.666 (663)
868 Doane                          8- 11   48.745   49.526 (681)
869 Susquehanna                    8-  7   48.741   48.539 (871)
870 Mt St Mary NY                 10-  4   48.736   46.326 (1305)
871 Medgar Evers                  10-  7   48.736   47.572 (1092)
872 Johns Hopkins                 10-  4   48.733   46.347 (1303)
873 Wilmington OH                  7-  7   48.732   48.800 (819)
874 William Carey                  7- 11   48.714   50.075 (596)
875 UMass-Dartmouth                8-  7   48.701   48.399 (902)
876 Washington and Lee             9-  6   48.700   47.781 (1053)
877 Trine                         10-  6   48.694   47.379 (1145)
878 Belhaven                       8- 12   48.689   49.980 (608)
879 Acadia                         2-  5   48.687   50.666 (505)
880 George Fox                     7-  8   48.687   49.197 (738)
881 Misericordia                   9-  6   48.684   47.473 (1124)
882 Laval                          2-  6   48.674   51.746 (386)
883 Skidmore                       9-  3   48.659   45.444 (1377)
884 Northeastern St OK             3- 14   48.615   51.850 (382)
885 Mary                           3- 13   48.613   52.022 (373)
886 Anderson IN                    8-  8   48.600   48.553 (870)
887 Hood                           8-  5   48.597   47.221 (1178)
888 Concordia NY                   7-  9   48.571   49.224 (734)
889 CSU-Monterey Bay               2- 12   48.567   52.322 (360)
890 Virginia-Wise                  5- 13   48.565   50.949 (463)
891 Concordia MI                   9- 10   48.559   48.880 (803)
892 Nebraska Wesleyan              7- 10   48.555   49.377 (703)
893 Clark Atlanta                  5-  7   48.550   49.585 (677)
894 FDU-Florham                    8-  7   48.535   48.116 (976)
895 Truett-McConnell               9-  9   48.533   48.673 (847)
896 Missouri Baptist              11-  9   48.526   47.941 (1019)
897 Faulkner                       8-  9   48.514   48.681 (844)
898 Medaille                      13-  2   48.489   44.033 (1446)
899 Salisbury                      9-  6   48.483   47.482 (1121)
900 Harris-Stowe St                9- 10   48.482   49.066 (766)
901 Flagler                        6-  9   48.478   49.491 (685)
902 UW-Stout                       6- 11   48.471   50.145 (577)
903 Elmhurst                       8-  7   48.456   48.050 (992)
904 Pfeiffer                       8-  7   48.438   48.036 (995)
905 Sterling                      11- 11   48.422   48.408 (896)
906 Alaska-Fairbanks               4- 13   48.387   51.101 (439)
907 Case Western Reserve           8-  6   48.376   47.552 (1096)
908 Dalhousie                      1-  5   48.372   51.997 (375)
909 McMurry                       10-  5   48.370   46.486 (1282)
910 Buena Vista                    7-  8   48.368   48.658 (851)
911 Rio Grande                    10- 10   48.344   48.255 (938)
912 Cortland St                   10-  4   48.294   45.818 (1347)
913 Chadron St                     4- 11   48.293   50.672 (501)
914 Bowdoin                        9-  4   48.276   45.622 (1362)
915 Clarkson                       9-  3   48.262   45.440 (1378)
916 Defiance                       6-  9   48.255   49.268 (724)
917 Madonna                       11- 10   48.238   48.114 (978)
918 Rhodes                        10-  7   48.231   47.124 (1192)
919 Washington MD                  9-  6   48.223   47.383 (1142)
920 William Penn                   9- 10   48.217   48.272 (931)
921 Dickinson St                   8- 14   48.214   49.419 (698)
922 Elms                           8-  5   48.191   46.986 (1214)
923 Iowa Wesleyan                  8-  6   48.191   47.458 (1126)
924 Rutgers-Newark                10-  7   48.170   46.971 (1218)
925 Clark MA                       8-  7   48.165   47.630 (1082)
926 Babson                         8-  8   48.160   48.134 (969)
927 Miles                          6-  7   48.156   48.778 (824)
928 Hamilton                      11-  6   48.154   46.651 (1256)
929 Northwest Christian            9- 12   48.142   48.958 (786)
930 Calgary                        8- 17   48.110   50.242 (569)
931 Concordia TX                   8-  7   48.105   47.809 (1047)
932 UC-Santa Cruz                  8-  8   48.099   48.132 (970)
933 Concordia NE                   8- 11   48.092   48.961 (784)
934 Reinhardt                      9- 12   48.088   48.978 (782)
935 Texas College                  8-  9   48.071   48.393 (904)
936 Grace Bible                    9-  7   48.032   46.700 (1249)
937 Urbana                         4- 10   48.029   50.396 (541)
938 Manhattanville                 7-  8   48.026   48.429 (894)
939 Waldorf                        7- 10   48.024   48.899 (796)
940 Thompson Rivers                8- 13   48.018   49.355 (708)
941 Catawba                        4- 10   47.994   50.143 (578)
942 Mansfield                      6-  8   47.991   48.678 (845)
943 Southern Wesleyan              7- 11   47.976   49.106 (754)
944 Austin                        10-  7   47.974   47.169 (1187)
945 Tennessee Wesleyan            11-  8   47.965   47.021 (1210)
946 Farmingdale                    9-  4   47.963   45.662 (1359)
947 Pacific OR                     8-  7   47.957   47.621 (1085)
948 Bethel TN                     10-  8   47.947   47.674 (1073)
949 West Coast Baptist             8-  7   47.931   47.874 (1030)
950 Mt St-Vincent NS              11-  1   47.889   41.444 (1518)
951 Glenville St                   3- 11   47.883   50.977 (455)
952 St Thomas Aquinas              6-  8   47.883   48.609 (860)
953 Kentucky St                    6-  5   47.868   47.485 (1120)
954 St Gregory's                   4- 13   47.863   50.909 (466)
955 NAIT                          10-  3   47.843   44.800 (1413)
956 Thomas More                    9-  6   47.819   46.718 (1247)
957 Schreiner                      9-  7   47.813   47.306 (1158)
958 St Vincent                    12-  4   47.812   44.593 (1421)
959 Delta St                       4- 10   47.784   50.253 (567)
960 Bishop's                       2-  7   47.781   50.858 (472)
961 Lourdes                        9- 10   47.776   47.991 (1004)
962 Coll of the Ozarks MO          9-  9   47.774   47.785 (1052)
963 Lethbridge U.                  5- 13   47.762   50.096 (588)
964 Park                           8- 10   47.762   48.478 (882)
965 Alfred                         9-  4   47.756   45.670 (1357)
966 Tuskegee                       4-  5   47.746   48.487 (880)
967 Westfield St                  10-  6   47.726   46.180 (1316)
968 Ohio Dominican                 3- 12   47.717   51.192 (427)
969 Colorado College               8-  6   47.705   47.301 (1159)
970 Academy of Art                 2- 15   47.703   52.153 (367)
971 East Central                   2- 12   47.691   51.477 (402)
972 Mars Hill                      3- 12   47.678   51.003 (451)
973 Black Hills St                 4- 12   47.664   50.416 (535)
974 Palm Beach Atlantic            3- 14   47.660   51.345 (408)
975 La Roche                      11-  4   47.660   45.141 (1397)
976 Maryville TN                  10-  7   47.644   46.616 (1260)
977 Wesley DE                      6- 10   47.641   48.759 (828)
978 Gettysburg                     7-  8   47.634   47.863 (1032)
979 Wartburg                       8-  8   47.624   47.492 (1117)
980 Webber Int'l                   6- 13   47.611   49.572 (678)
981 Carnegie Mellon                6-  8   47.611   48.529 (876)
982 Eastern U.                     8-  5   47.588   46.476 (1283)
983 Binghamton                     0- 17   47.580   53.956 (262)
984 LeMoyne-Owen                   6-  6   47.570   47.606 (1087)
985 York NE                        9- 10   47.558   47.827 (1042)
986 King's PA                      8-  7   47.552   47.100 (1198)
987 Ferrum                         9-  6   47.550   46.602 (1262)
988 Brock                          8-  8   47.548   47.584 (1089)
989 IU South Bend                  9-  8   47.531   47.258 (1168)
990 Wheaton MA                     8-  6   47.522   46.902 (1224)
991 Carleton MN                    6-  7   47.516   47.785 (1051)
992 Missouri S&T                   2- 13   47.501   52.105 (369)
993 Ithaca                         6-  9   47.493   48.459 (884)
994 Denison                        6-  9   47.489   48.345 (912)
995 Victory                        7-  8   47.482   48.249 (939)
996 Dowling                        4-  9   47.452   49.598 (674)
997 Union NY                       9-  4   47.440   45.284 (1390)
998 Northwestern MN                7-  7   47.435   47.231 (1175)
999 Valley Forge Chr               9-  4   47.424   45.285 (1389)
1000 St John Fisher                10-  6   47.422   46.209 (1313)
1001 Old Westbury                   8-  6   47.418   46.493 (1280)
1002 Salem Int'l                    3- 16   47.416   51.220 (423)
1003 Central Christian KS          13-  6   47.415   45.467 (1374)
1004 Post                           5- 10   47.404   49.250 (729)
1005 Greensboro                    10-  5   47.399   45.659 (1361)
1006 Toronto                        6-  9   47.390   48.442 (888)
1007 Regis CO                       4- 11   47.378   49.952 (614)
1008 Albany St GA                   5-  6   47.361   47.690 (1069)
1009 American Int'l                 4- 11   47.359   49.913 (621)
1010 Brockport St                   6-  7   47.355   47.639 (1078)
1011 Erskine                        3- 11   47.351   50.447 (529)
1012 Oakland City                   9-  5   47.336   45.560 (1365)
1013 Viterbo                        8- 11   47.335   48.165 (959)
1014 Alice Lloyd                   10-  7   47.334   46.582 (1264)
1015 William Jessup                 6- 12   47.332   49.353 (710)
1016 Spalding                       8-  9   47.324   47.913 (1023)
1017 Gwynedd-Mercy                  9-  5   47.314   45.716 (1352)
1018 Eureka                         7-  7   47.297   47.501 (1114)
1019 Mount Royal                    9-  2   47.289   43.347 (1470)
1020 Tampa                          4- 11   47.281   50.005 (604)
1021 Kenyon                         7-  9   47.273   48.063 (989)
1022 Lees-McRae                     3- 10   47.272   50.321 (556)
1023 Hunter                         6-  8   47.263   48.267 (933)
1024 Point Park                     8-  7   47.249   46.817 (1233)
1025 Oakwood                        2-  6   47.247   49.821 (639)
