Rnk Team                           W-  L     RATE      SOS
114 Butler                        11-  9   56.794   56.065 ( 80)
115 TCU                           10-  6   56.769   55.304 (137)
116 DePaul                        10-  7   56.765   55.786 ( 96)
117 Texas A&M                     10-  6   56.724   55.155 (155)
118 Villanova                      8- 10   56.710   57.115 (  9)
119 Loyola-Maryland               12-  5   56.698   54.633 (197)
120 Bucknell                      13-  6   56.632   54.520 (210)
121 Texas-Arlington               13-  5   56.626   53.783 (282)
122 Valparaiso                    12-  7   56.586   54.871 (176)
123 Air Force                     11-  4   56.566   53.497 (305)
124 Mercer                        13-  7   56.561   54.841 (180)
125 Robert Morris PA              13-  6   56.556   54.524 (209)
126 Hillsdale                     15-  1   56.530   51.341 (410)
127 Norfolk St                    13-  5   56.501   54.174 (238)
128 Tarleton St                   15-  1   56.465   50.822 (476)
129 Boise St                      10-  6   56.414   54.788 (183)
130 UC-Santa Barbara               9-  7   56.409   55.608 (113)
131 Utah St                       10-  8   56.395   55.680 (104)
132 Rutgers                       11-  8   56.372   55.277 (141)
133 Tulsa                          9-  9   56.355   56.208 ( 65)
134 Lehigh                        14-  5   56.270   53.375 (316)
135 Western Michigan               8-  9   56.266   56.602 ( 36)
136 Georgia Tech                   8-  9   56.256   56.347 ( 53)
137 Tennessee                      8-  9   56.254   56.373 ( 49)
138 Buffalo                        8-  6   56.253   55.276 (142)
139 Washington St                 10-  8   56.251   55.284 (140)
140 UTEP                           9-  9   56.243   56.142 ( 71)
141 Montana                       12-  6   56.240   54.413 (221)
142 Penn St                        9- 10   56.233   56.414 ( 47)
143 St John's NY                   9-  9   56.143   56.131 ( 72)
144 Old Dominion                  10-  8   56.134   55.547 (121)
145 Bellarmine                    13-  2   56.130   51.806 (383)
146 South Alabama                 12-  6   56.076   54.029 (250)
147 Clemson                        9-  8   56.048   55.489 (125)
148 Pennsylvania                  10-  9   56.042   55.826 ( 94)
149 Rice                          11-  7   56.021   54.437 (218)
150 Manhattan                     12-  7   56.000   54.450 (216)
151 Oakland                       11- 10   55.923   55.585 (116)
152 Tulane                        13-  5   55.911   53.169 (327)
153 Cal Poly SLO                  11-  7   55.901   54.476 (212)
154 Lamar                         15-  7   55.896   53.453 (308)
155 Kentucky Wesleyan             14-  0   55.843   49.533 (680)
156 South Carolina                 8-  9   55.827   56.072 ( 79)
157 Yale                          11-  4   55.811   52.811 (336)
158 Evansville                     8-  9   55.810   55.986 ( 88)
159 Loyola Marymount              11-  8   55.788   54.714 (189)
160 St Cloud St                   13-  2   55.673   51.622 (397)
161 Winona St                     15-  2   55.634   51.189 (429)
162 Carleton ON                   23-  6   55.626   51.219 (424)
163 UNC-Asheville                 12-  6   55.625   53.543 (300)
164 Western Illinois               9-  7   55.611   54.543 (207)
165 Coastal Carolina              13-  4   55.604   52.227 (363)
166 Hawai`i                       11-  7   55.590   54.459 (215)
167 San Francisco                 12-  8   55.577   54.261 (233)
168 Houston                        9-  8   55.577   55.180 (153)
169 Ball St                       12-  5   55.576   53.054 (330)
170 Midwestern St                 14-  1   55.542   50.405 (538)
171 Texas-San Antonio             10-  7   55.520   54.470 (214)
172 Seattle Pacific               14-  3   55.474   51.655 (394)
173 West Liberty St               14-  1   55.468   50.666 (504)
174 Metropolitan St               15-  1   55.406   50.331 (554)
175 Fairfield                      8-  9   55.384   55.555 (119)
176 Christian Brothers            13-  2   55.382   51.081 (441)
177 Southern Indiana              13-  1   55.359   49.999 (605)
178 UNC-Wilmington                 7-  9   55.295   56.018 ( 85)
179 Texas Tech                     8-  9   55.261   55.673 (106)
180 LIU-Brooklyn                  12-  6   55.209   53.581 (298)
181 Arkansas Tech                 10-  3   55.200   52.106 (368)
182 NW Missouri St                13-  2   55.183   50.758 (493)
183 Western Oregon                13-  3   55.177   51.783 (384)
184 Northern Kentucky             14-  3   55.172   50.725 (494)
185 Southern Cal                   5- 13   55.168   57.509 (  2)
186 UW-Green Bay                   7- 10   55.112   56.040 ( 84)
187 Princeton                     10-  8   55.111   54.366 (228)
188 Campbell                      11-  8   55.108   54.159 (242)
189 Arizona St                     6- 11   55.086   56.528 ( 40)
190 Bowling Green                  7-  9   55.072   55.566 (117)
191 East Carolina                  9-  7   55.066   53.873 (270)
192 Detroit Mercy                 10- 11   55.056   55.049 (163)
193 Wright St                      9- 11   55.037   55.615 (111)
194 Tennessee Tech                11-  7   55.018   53.823 (277)
195 American U.                   12-  7   55.016   53.792 (280)
196 St Francis Xavier             16-  0   55.007   49.597 (675)
197 North Texas                   12-  8   55.007   53.619 (295)
198 Columbia NY                   11-  7   54.978   53.380 (314)
199 East Tennessee St              9-  7   54.942   54.028 (251)
200 Fresno St                      9- 11   54.908   55.262 (143)
201 Albany NY                     13-  7   54.879   53.376 (315)
202 Bradley                        7- 13   54.821   56.607 ( 35)
203 Alabama-Birmingham             6- 11   54.800   56.209 ( 64)
204 North Florida                  9- 10   54.800   55.252 (146)
205 SMU                            9-  8   54.790   54.223 (235)
206 Minn St-Moorhead              13-  2   54.783   50.682 (500)
207 Lewis                         11-  4   54.769   51.681 (392)
208 Miami OH                       5- 10   54.763   56.598 ( 37)
209 UW-Whitewater                 15-  1   54.721   49.085 (761)
210 Arkansas-Little Rock           8- 11   54.700   55.616 (110)
211 Azusa Pacific                 15-  3   54.691   51.071 (445)
212 Washburn                      11-  5   54.687   52.347 (358)
213 CSU-Fullerton                 10-  6   54.683   53.150 (328)
214 Charleston Southern           11-  7   54.671   53.345 (317)
215 Northeastern                   8-  8   54.665   54.715 (188)
216 Cal Poly Pomona                9-  3   54.655   51.698 (391)
217 Boston College                 7- 10   54.632   55.782 ( 97)
218 IPFW                          10-  8   54.618   54.026 (252)
219 Missouri Southern             14-  3   54.615   50.911 (465)
220 UC-Riverside                  10-  8   54.612   54.169 (239)
221 CSU-San Bernardino             9-  4   54.610   52.692 (341)
222 Claremont-Mudd-Scripps        14-  0   54.600   48.378 (909)
223 Western Washington            15-  3   54.599   50.669 (502)
224 Wofford                       10-  8   54.593   54.004 (255)
225 SC-Upstate                    10-  8   54.588   53.787 (281)
226 Louisiana-Lafayette            9- 10   54.575   54.564 (205)
227 IUPUI                          9- 12   54.571   55.198 (149)
228 Youngstown St                  9-  8   54.571   54.033 (249)
229 Hope                          14-  1   54.565   49.665 (665)
230 Eastern Washington             9-  9   54.543   54.443 (217)
231 CSU-Los Angeles                9-  4   54.530   51.918 (380)
232 Idaho                         11-  9   54.516   53.646 (292)
233 Alderson-Broaddus             12-  2   54.495   50.706 (497)
234 CSU-Bakersfield               11-  9   54.461   54.011 (254)
235 Lipscomb                       9- 10   54.447   54.649 (196)
236 Shorter                       17-  0   54.441   48.766 (826)
237 California Baptist            11-  1   54.433   49.974 (609)
238 Fordham                        7-  9   54.427   55.304 (138)
239 Stony Brook                    9-  7   54.421   53.308 (321)
240 Central Connecticut St         8-  8   54.408   54.377 (227)
241 George Washington              6- 11   54.366   56.127 ( 74)
242 Northwood FL                  16-  1   54.361   49.240 (731)
243 Florida Gulf Coast             8-  9   54.348   54.580 (203)
244 Holy Cross MA                  8-  9   54.334   54.789 (182)
245 Indianapolis                  11-  3   54.327   50.843 (474)
246 Findlay                       12-  4   54.321   51.488 (401)
247 Portland                       6- 13   54.285   56.472 ( 43)
248 Central Missouri              10-  4   54.271   51.514 (400)
249 Florida Atlantic               6- 12   54.250   55.932 ( 91)
250 Siena                          8-  9   54.244   54.658 (195)
251 Central Michigan               7-  9   54.239   55.003 (167)
252 Lincoln Memorial              15-  1   54.221   48.442 (887)
253 Shaw                          12-  2   54.215   50.095 (589)
254 Western Carolina               8- 10   54.196   54.887 (175)
255 Savannah St                    8-  9   54.181   54.697 (190)
256 Westmont                      13-  3   54.180   50.636 (512)
257 Southern Utah                  9-  9   54.142   54.223 (236)
258 Arkansas St                    8- 11   54.115   55.072 (161)
259 Elon                           8-  8   54.107   54.043 (248)
260 Concordia CA                  14-  4   54.103   50.975 (456)
261 Vanier                         7-  1   54.084   49.620 (671)
262 Oklahoma Baptist U.           15-  1   54.074   47.949 (1014)
263 Quinnipiac                     9-  8   54.053   53.700 (286)
264 Bemidji St                    12-  5   54.047   51.653 (395)
265 Delaware                       7-  9   54.038   54.608 (202)
266 District of Columbia          13-  2   54.027   50.007 (603)
267 Colorado Mines                13-  2   54.026   49.840 (633)
268 Pepperdine                     8- 10   54.021   54.717 (187)
269 James Madison                  8-  9   54.013   54.408 (223)
270 Chico St                      12-  4   54.009   50.845 (473)
271 Eastern Kentucky              10-  9   53.995   53.748 (283)
272 Montevallo                    13-  3   53.990   50.316 (559)
273 Eastern Illinois              10-  7   53.981   53.034 (331)
274 Troy                           6- 10   53.944   55.242 (147)
275 Cornell NY                     6- 10   53.890   55.124 (157)
276 SC-Aiken                      11-  2   53.882   49.971 (611)
277 Stetson                        7- 10   53.882   54.960 (169)
278 Cameron                       11-  4   53.873   51.264 (416)
279 Texas Southern                 5- 11   53.870   56.270 ( 59)
280 CSU-Dominguez Hills            7-  5   53.862   52.983 (332)
281 Boston U.                      7- 11   53.857   55.116 (158)
282 Chaminade                      6-  5   53.834   53.571 (299)
283 Fort Hays St                  11-  4   53.832   51.261 (417)
284 CSU-Stanislaus                 9-  5   53.831   52.280 (361)
285 Portland St                    8-  9   53.824   53.836 (275)
286 Northwestern St                9-  8   53.817   53.424 (312)
287 Louisiana Tech                 9- 10   53.810   54.024 (253)
288 Southern Illinois              6- 12   53.808   55.596 (115)
289 Humboldt St                   11-  4   53.802   51.012 (449)
290 San Diego                      6- 10   53.787   55.261 (145)
291 Tennessee St                  11-  9   53.786   53.223 (326)
292 Mississippi Valley St          5- 11   53.784   56.063 ( 82)
293 West Georgia                  16-  3   53.773   49.814 (641)
294 Augustana SD                  10-  5   53.764   51.930 (379)
295 SE Missouri St                10-  8   53.751   53.226 (325)
296 Northern Colorado              6- 10   53.702   54.931 (172)
297 Wayne St MI                    9-  6   53.694   52.352 (357)
298 Minn-Duluth                   10-  5   53.690   52.082 (371)
299 Winston-Salem                 12-  2   53.674   49.836 (635)
300 Niagara NY                     9- 13   53.671   54.790 (181)
301 Vermont                        9- 10   53.656   53.820 (278)
302 Coppin St                      8-  9   53.654   54.109 (243)
303 Maine                          8-  7   53.645   52.946 (334)
304 Appalachian St                 7-  9   53.645   54.308 (231)
305 Santa Clara                   10- 11   53.641   53.870 (272)
306 Chattanooga                    9- 10   53.636   53.494 (306)
307 Dordt                         18-  2   53.631   49.225 (733)
308 Eastern Michigan               8- 10   53.604   54.429 (219)
309 Toledo                         8-  9   53.587   53.434 (310)
310 Southern Tech                 13-  3   53.581   50.403 (539)
311 Indiana PA                    12-  2   53.573   49.696 (657)
312 Quincy                        10-  4   53.558   51.212 (425)
313 Illinois Wesleyan             13-  2   53.537   49.352 (711)
314 Grand Canyon                   9-  4   53.499   51.185 (430)
315 Austin Peay                    6- 13   53.462   55.326 (136)
316 SW Minnesota St                9-  6   53.453   52.353 (356)
317 Furman                         8-  9   53.445   53.660 (291)
318 Utah Valley St                 9- 10   53.414   53.522 (303)
319 Charleston WV                 12-  4   53.398   50.723 (495)
320 Whitworth                     13-  2   53.393   49.200 (737)
321 Pittsburg St                  10-  6   53.384   52.208 (365)
322 Illinois-Chicago               7- 11   53.364   54.411 (222)
323 Stephen F. Austin              9-  8   53.361   52.613 (345)
324 Newman                        11-  4   53.350   51.074 (444)
325 Alabama-Huntsville            12-  3   53.338   49.996 (606)
326 Sacred Heart                   8- 11   53.323   54.051 (247)
327 SW Oklahoma St                10-  4   53.307   51.004 (450)
328 High Point                     7- 10   53.307   53.899 (268)
329 Montana St-Northern           16-  2   53.296   47.956 (1010)
330 UW-Stevens Point              13-  3   53.288   49.864 (626)
331 Hofstra                        6- 12   53.285   54.857 (177)
332 Georgia Southern               7- 10   53.258   54.097 (244)
333 UC-Irvine                      7- 12   53.244   54.739 (186)
334 Presbyterian                   8- 10   53.243   53.871 (271)
335 Gardner-Webb                   9- 11   53.218   53.708 (285)
336 Morehead St                    9- 11   53.215   53.620 (294)
337 West Texas A&M                12-  4   53.210   50.137 (581)
338 Western Kentucky               6- 14   53.206   55.451 (129)
339 North Dakota                   7-  9   53.202   53.924 (265)
340 Grace IN                      16-  2   53.169   48.799 (820)
341 Missouri-St Louis             11-  4   53.151   50.348 (551)
342 Bentley                       12-  3   53.109   50.031 (600)
343 Montana St                     8-  8   53.107   53.105 (329)
344 King TN                       13-  3   53.105   49.881 (624)
345 Arkansas-Monticello           12-  3   53.103   49.349 (713)
346 St Francis NY                  8-  9   53.071   53.453 (307)
347 Middlebury                    14-  0   53.033   46.644 (1257)
348 McGill                         7-  2   53.020   50.046 (599)
349 Bowie St                      10-  3   53.015   50.202 (571)
350 North Carolina Central         8-  8   52.988   52.253 (362)
351 Adams St                      11-  3   52.972   49.914 (620)
352 Morgan St                      3- 11   52.962   55.999 ( 87)
353 Central Oklahoma              10- 10   52.958   52.912 (335)
354 UMKC                           8- 14   52.952   54.615 (199)
355 Northern St                   10-  7   52.943   51.745 (387)
356 San José St                    6- 11   52.942   54.613 (200)
357 Utah                           4- 13   52.932   56.307 ( 57)
358 Wheaton IL                    12-  3   52.903   49.196 (739)
359 Lafayette                      7- 11   52.898   54.164 (241)
360 West Florida                  11-  6   52.895   51.245 (418)
361 Drury                          9-  6   52.892   51.442 (404)
362 Georgetown KY                 15-  3   52.889   49.036 (772)
363 Champlain St-Lambert           7-  2   52.881   49.677 (661)
364 Washington MO                 11-  3   52.874   49.675 (662)
365 Eckerd                        10-  4   52.858   50.375 (547)
366 Barton                        11-  3   52.853   49.789 (648)
367 Northwood MI                   8-  6   52.826   52.072 (372)
368 Rider                          6- 12   52.818   54.621 (198)
369 Wheeling Jesuit                9-  5   52.809   51.342 (409)
370 Georgia Southwestern          10-  3   52.791   49.179 (740)
371 Wabash                        13-  2   52.787   48.568 (866)
372 Franklin Pierce               11-  4   52.785   50.101 (587)
373 Pacific CA                     5- 12   52.764   55.098 (160)
374 Bloomsburg                    12-  3   52.743   49.296 (717)
375 Warner Pacific                17-  4   52.737   49.119 (749)
376 Winthrop                       7- 11   52.716   53.948 (263)
377 Northwest WA                  16-  3   52.714   48.762 (827)
378 Point Loma Nazarene           12-  6   52.703   50.895 (467)
379 Texas St-San Marcos            8-  8   52.699   52.430 (352)
380 St Mary's TX                  10-  5   52.682   50.793 (484)
381 UNC-Greensboro                 5- 14   52.680   55.497 (124)
382 Mary Hardin-Baylor            15-  0   52.675   46.865 (1228)
383 NYU                           12-  1   52.674   47.529 (1106)
384 Loyola-Chicago                 6- 12   52.651   54.393 (224)
385 MIT                           16-  1   52.640   46.881 (1227)
386 Lindenwood                    16-  2   52.636   47.536 (1102)
387 Marist                         7- 11   52.632   53.991 (257)
388 Elizabeth City St              8-  6   52.608   51.762 (385)
389 Rogers St                     15-  4   52.606   49.147 (744)
390 VMI                            9-  9   52.595   52.584 (346)
391 Lake Forest                   12-  2   52.587   48.849 (811)
392 Robert Morris-Chicago         16-  2   52.582   47.695 (1068)
393 McNeese St                     6-  9   52.569   53.438 (309)
394 Alaska-Anchorage              11-  6   52.538   50.282 (563)
395 Col. de Sainte-Foy             7-  2   52.534   49.464 (690)
396 Eastern Conn St               12-  1   52.528   46.859 (1231)
397 Oregon Tech                   19-  2   52.518   47.717 (1062)
398 Dixie St                       9-  5   52.515   51.033 (448)
399 Florida Int'l                  4- 13   52.515   55.447 (130)
400 CSU-East Bay                   7-  6   52.499   52.093 (370)
401 Davenport                     18-  2   52.479   47.433 (1131)
402 Sonoma St                      7-  7   52.454   52.433 (351)
403 Anderson SC                   11-  3   52.406   49.253 (728)
404 Columbus St                    9-  6   52.401   51.224 (422)
405 Biola                         12-  6   52.399   50.354 (550)
406 Rhode Island                   3- 15   52.399   55.936 ( 89)
407 Young Harris                  12-  2   52.392   48.659 (850)
408 Rollins                       11-  4   52.380   49.901 (622)
409 The Master's College          12-  6   52.362   50.117 (584)
410 UW-Parkside                    8-  6   52.335   50.968 (459)
411 SE Louisiana St                7-  8   52.331   52.662 (342)
412 Adelphi                       11-  4   52.321   49.933 (619)
413 Clayton St                     9-  5   52.306   50.805 (479)
414 Virginia Wesleyan             13-  1   52.302   47.128 (1191)
415 Central Arkansas               6-  9   52.299   53.674 (289)
416 Michigan Tech                  9-  7   52.298   51.284 (414)
417 Our Lady of the Lake          13-  5   52.296   49.941 (618)
418 Sam Houston St                 7- 10   52.288   53.318 (320)
419 Lycoming                      14-  2   52.284   48.112 (979)
420 Rhode Island Coll             12-  2   52.282   48.068 (987)
421 BYU-Hawai`i                    6-  6   52.269   52.462 (350)
422 Bloomfield                    13-  5   52.268   49.779 (649)
