Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 BAYLOR                                     17     0     0  1479  1068  109.265
   2 GONZAGA                                    18     0     0  1679  1254  108.966
   3 MICHIGAN                                   13     1     0  1116   915  108.404
   4 ILLINOIS                                   13     5     0  1473  1239  107.219
   5 HOUSTON                                    16     2     0  1371  1024  107.213
   6 OHIO ST.                                   15     4     0  1476  1303  107.048
   7 MISSOURI                                   13     3     0  1196  1118  106.957
   8 VILLANOVA                                  12     2     0  1091   950  106.702
   9 ALABAMA                                    15     5     0  1582  1383  106.397
  10 WEST VIRGINIA                              13     5     0  1378  1276  106.369
  11 FLORIDA ST.                                10     3     0  1016   888  106.351
  12 TEXAS                                      11     5     0  1206  1085  106.322
  13 USC                                        15     3     0  1363  1146  106.278
  14 VIRGINIA                                   13     3     0  1142   961  106.221
  15 FORT HAYS ST.                               1     0     0    81    68  106.173
  16 CLEMSON                                    12     5     0  1107  1064  106.160
  17 XAVIER                                     11     2     0  1013   890  106.115
  18 WISCONSIN                                  14     6     0  1426  1262  106.079
  19 TENNESSEE                                  13     4     0  1230  1014  106.014
  20 OKLAHOMA                                   12     5     0  1284  1139  106.012
  21 RUTGERS                                    11     6     0  1235  1161  105.886
  22 PURDUE                                     13     7     0  1411  1330  105.834
  23 IOWA                                       13     6     0  1669  1420  105.790
  24 OKLAHOMA ST.                               12     5     0  1306  1216  105.769
  25 TEXAS TECH                                 14     5     0  1414  1172  105.732
  26 LOUISVILLE                                 11     4     0  1042   963  105.726
  27 VIRGINIA TECH                              14     4     0  1305  1180  105.662
  28 KANSAS                                     12     7     0  1403  1302  105.632
  29 BELMONT ABBEY                               1     0     0    75    72  105.539
  30 UCLA                                       13     4     0  1250  1140  105.494
  31 BYU                                        15     4     0  1504  1286  105.446
  32 SAN DIEGO ST.                              13     4     0  1271  1037  105.445
  33 ST. BONAVENTURE                             9     2     0   775   683  105.318
  34 WICHITA ST.                                11     4     0  1106  1033  105.224
  35 MINNESOTA                                  11     7     0  1365  1315  105.128
  36 PENN ST.                                    7     8     0  1113  1114  105.122
  37 CREIGHTON                                  14     5     0  1513  1334  105.106
  38 COLORADO                                   14     5     0  1439  1228  105.016
  39 FLORIDA                                    10     5     0  1163  1066  104.992
  40 MARYLAND                                   10     9     0  1324  1255  104.972
  41 SMU                                        10     4     0  1043   943  104.871
  42 COLORADO ST.                               14     4     0  1354  1196  104.868
  43 ARKANSAS                                   14     5     0  1572  1318  104.858
  44 INDIANA                                    10     8     0  1305  1230  104.842
  45 COLGATE                                     7     1     0   692   521  104.778
  46 NORTH CAROLINA                             12     6     0  1333  1268  104.777
  47 VCU                                        13     4     0  1251  1104  104.703
  48 SETON HALL                                 11     8     0  1416  1351  104.498
  49 BOISE ST.                                  14     4     0  1412  1157  104.446
  50 LSU                                        11     6     0  1386  1263  104.396
  51 RICHMOND                                   10     4     0  1068   984  104.372
  52 DRAKE                                      18     1     0  1547  1200  104.346
  53 LOYOLA CHICAGO                             17     3     0  1479  1125  104.304
  54 MEMPHIS                                    12     6     0  1308  1132  104.273
  55 OREGON                                     10     4     0  1069   947  104.269
  56 STANFORD                                   12     7     0  1374  1299  104.265
  57 CONNECTICUT                                 8     4     0   857   773  104.255
  58 ARIZONA                                    13     6     0  1476  1306  104.039
  59 SAINT MARY'S                               11     5     0  1070   990  104.006
  60 ST. JOHN'S                                 13     7     0  1594  1528  103.992
  61 TCU                                        10     7     0  1178  1206  103.973
  62 WESTERN KENTUCKY                           13     4     0  1259  1182  103.973
  63 SYRACUSE                                   10     6     0  1227  1133  103.933
  64 NAVY                                       11     2     0   939   885  103.919
  65 UTAH ST.                                   14     5     0  1421  1164  103.828
  66 GEORGIA TECH                                9     6     0  1150  1083  103.809
  67 SAINT LOUIS                                 8     3     0   887   733  103.768
  68 AUBURN                                     10    10     0  1581  1524  103.331
  69 DAYTON                                     11     5     0  1091  1042  103.317
  70 MICHIGAN ST.                                9     7     0  1155  1142  103.299
  71 PITTSBURGH                                  9     6     0  1089  1041  103.285
  72 ARMY                                        9     4     0   962   881  103.266
  73 TOLEDO                                     16     5     0  1689  1499  103.229
  74 TULSA                                       9     8     0  1138  1091  103.179
  75 GEORGIA                                    12     6     0  1398  1352  103.174
