Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 GONZAGA                                    36     1     0  3080  2254  112.346
   2 VILLANOVA                                  32     4     0  2779  2256  112.212
   3 KANSAS                                     31     5     0  2995  2588  111.941
   4 KENTUCKY                                   32     6     0  3225  2716  111.825
   5 NORTH CAROLINA                             31     7     0  3229  2683  111.675
   6 ARIZONA                                    32     5     0  2833  2440  111.413
   7 OREGON                                     33     5     0  3000  2488  111.361
   8 UCLA                                       31     5     0  3233  2719  111.155
   9 DUKE                                       28     9     0  2991  2597  111.009
  10 FLORIDA                                    27     9     0  2804  2394  110.916
  11 BAYLOR                                     27     8     0  2550  2228  110.899
  12 LOUISVILLE                                 25     9     0  2628  2243  110.810
  13 PURDUE                                     27     8     0  2790  2393  110.602
  14 WEST VIRGINIA                              28     9     0  3014  2467  110.561
  15 BUTLER                                     25     9     0  2595  2341  110.429
  16 FLORIDA STATE                              26     9     0  2873  2523  110.330
  17 VIRGINIA                                   23    11     0  2246  1916  110.322
  18 SMU                                        30     5     0  2599  2100  110.312
  19 WISCONSIN                                  27    10     0  2678  2308  110.284
  20 NOTRE DAME                                 26    10     0  2783  2494  110.220
  21 CINCINNATI                                 30     6     0  2674  2208  110.193
  22 ST MARY'S CA                               29     5     0  2449  1954  110.186
  23 IOWA STATE                                 24    11     0  2829  2529  110.049
  24 MICHIGAN                                   26    12     0  2851  2523  109.993
  25 WICHITA STATE                              31     5     0  2916  2246  109.895
  26 SOUTH CAROLINA                             26    10     0  2634  2337  109.887
  27 CREIGHTON                                  25    10     0  2864  2549  109.778
  28 MINNESOTA                                  24    10     0  2556  2361  109.575
  29 ARKANSAS                                   26    10     0  2855  2659  109.518
  30 XAVIER                                     24    14     0  2836  2711  109.473
  31 MARYLAND                                   24     9     0  2438  2246  109.354
  32 USC                                        26    10     0  2816  2633  109.108
  33 OKLAHOMA STATE                             20    13     0  2828  2589  109.083
  34 NORTHWESTERN                               24    12     0  2558  2357  109.082
  35 MIAMI FL                                   21    12     0  2278  2116  109.060
  36 VIRGINIA TECH                              22    11     0  2610  2465  109.037
  37 SETON HALL                                 21    12     0  2417  2323  108.852
  38 MICHIGAN STATE                             20    14     0  2445  2314  108.771
  39 DAYTON                                     24     8     0  2428  2126  108.718
  40 VCU                                        26     9     0  2616  2343  108.693
  41 KANSAS STATE                               21    14     0  2523  2372  108.635
  42 RHODE ISLAND                               25    10     0  2577  2288  108.610
  43 WAKE FOREST                                19    14     0  2733  2588  108.544
