Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Villanova                                  35     5     0  3118  2543  113.533
   2 Kansas                                     33     5     0  3089  2570  113.423
   3 North Carolina                             33     7     0  3311  2801  112.771
   4 Virginia                                   29     8     0  2626  2222  112.488
   5 Oklahoma                                   29     8     0  2948  2629  112.417
   6 Oregon                                     31     7     0  2990  2614  112.181
   7 Michigan St                                29     6     0  2793  2245  112.037
   8 Xavier OH                                  28     6     0  2737  2392  112.019
   9 Miami FL                                   27     8     0  2633  2359  111.954
  10 West Virginia                              26     9     0  2749  2335  111.641
  11 Utah                                       27     9     0  2778  2502  111.267
  12 Louisville                                 23     8     0  2324  1895  111.171
  13 Duke                                       25    11     0  2920  2609  111.121
  14 Kentucky                                   27     9     0  2861  2451  111.117
  15 Indiana                                    27     8     0  2891  2447  111.071
  16 Texas A&M                                  28     9     0  2828  2458  110.924
  17 Seton Hall                                 25     9     0  2522  2305  110.903
  18 Arizona                                    25     9     0  2735  2342  110.893
  19 SMU                                        25     5     0  2319  1903  110.845
  20 Maryland                                   27     9     0  2725  2400  110.845
  21 Purdue                                     26     9     0  2726  2281  110.828
  22 Iowa St                                    23    12     0  2862  2625  110.824
  23 California                                 23    11     0  2545  2289  110.487
  24 St Joseph's PA                             28     8     0  2780  2522  110.412
  25 Baylor                                     22    12     0  2621  2366  110.378
  26 Notre Dame                                 24    12     0  2704  2541  110.350
  27 Texas                                      20    13     0  2355  2253  110.313
  28 Iowa                                       22    11     0  2561  2287  110.309
  29 Butler                                     22    11     0  2638  2344  110.285
  30 Providence RI                              24    11     0  2577  2455  110.228
  31 Dayton                                     25     8     0  2393  2176  110.198
  32 Gonzaga                                    28     8     0  2840  2360  110.043
  33 Syracuse                                   23    14     0  2589  2409  109.954
  34 Connecticut                                25    11     0  2631  2285  109.870
  35 Wichita St                                 26     9     0  2535  2066  109.850
  36 Wisconsin                                  22    13     0  2373  2233  109.829
  37 George Washington                          28    10     0  2875  2602  109.795
  38 Pittsburgh                                 21    12     0  2476  2220  109.755
  39 Colorado                                   22    12     0  2576  2407  109.744
  40 Texas Tech                                 19    13     0  2305  2236  109.729
  41 St Mary's CA                               29     6     0  2576  2132  109.673
  42 VA Commonwealth                            25    11     0  2781  2440  109.619
  43 San Diego St                               28    10     0  2605  2303  109.551
  44 Southern Cal                               21    13     0  2737  2537  109.538
  45 Michigan                                   23    13     0  2656  2426  109.510
  46 South Carolina                             25     9     0  2583  2357  109.507
  47 Oregon St                                  19    13     0  2301  2244  109.446
  48 Georgia Tech                               21    15     0  2637  2545  109.428
  49 Florida                                    21    15     0  2677  2479  109.328
  50 Cincinnati                                 22    11     0  2418  2090  109.279
  51 Valparaiso                                 30     7     0  2782  2323  109.233
  52 Hawai`i                                    28     6     0  2620  2267  109.175
  53 Vanderbilt                                 19    14     0  2506  2225  109.144
  54 Florida St                                 20    14     0  2652  2516  109.130
  55 Arkansas-Little Rock                       30     5     0  2487  2129  108.960
  56 Kansas St                                  17    16     0  2334  2251  108.933
  57 Georgia                                    20    14     0  2401  2369  108.907
  58 Washington                                 19    15     0  2853  2748  108.853
  59 Virginia Tech                              20    15     0  2624  2540  108.839
  60 St Bonaventure                             22     9     0  2409  2264  108.808
  61 Creighton                                  20    15     0  2787  2533  108.785
  62 Ohio State                                 21    14     0  2462  2381  108.780
  63 Temple                                     21    12     0  2267  2230  108.703
  64 Stanford                                   15    15     0  2088  2111  108.642
  65 Marquette                                  20    13     0  2517  2448  108.626
  66 Brigham Young                              26    11     0  3093  2692  108.564
  67 Tulsa                                      20    12     0  2356  2227  108.500
  68 Clemson                                    17    14     0  2159  1999  108.469
  69 Alabama                                    18    15     0  2193  2242  108.433
  70 LSU                                        19    14     0  2602  2543  108.376
  71 Augustana SD                               32     2     0  3074  2483  108.373
  72 UCLA                                       15    17     0  2480  2455  108.347
  73 Houston                                    22    10     0  2476  2216  108.344
  74 Northwestern                               20    12     0  2304  2111  108.314
  75 Yale                                       23     7     0  2248  1914  108.307
  76 Chattanooga                                29     6     0  2652  2364  108.297
  77 Northern Iowa                              23    13     0  2475  2303  108.274
  78 Mississippi                                20    12     0  2405  2306  108.250
  79 Fresno St                                  25    10     0  2630  2475  108.246
  80 Akron                                      26     9     0  2682  2381  108.210
  81 South Dakota St                            26     8     0  2591  2316  108.209
  82 UNC-Wilmington                             25     8     0  2620  2379  108.203
  83 Evansville                                 25     9     0  2526  2221  108.197
  84 Davidson                                   20    13     0  2608  2576  108.189
  85 UC-Irvine                                  28    10     0  2706  2512  108.180
  86 Monmouth NJ                                28     8     0  2861  2604  108.130
  87 Arizona St                                 15    17     0  2345  2367  108.075
  88 North Carolina St                          16    17     0  2482  2456  108.066
  89 Stephen F. Austin                          28     6     0  2728  2153  108.034
  90 Hofstra                                    24    10     0  2681  2509  108.020
  91 Georgetown DC                              15    18     0  2430  2370  108.016
  92 Princeton                                  22     7     0  2294  1989  107.878
  93 Arkansas                                   16    16     0  2501  2390  107.683
  94 Boise St                                   20    12     0  2480  2246  107.677
  95 Alabama-Birmingham                         26     7     0  2606  2323  107.656
  96 Long Beach St                              20    15     0  2613  2568  107.531
  97 Stony Brook                                26     7     0  2515  2115  107.452
  98 William & Mary                             20    11     0  2384  2205  107.451
  99 Middle Tennessee St                        25    10     0  2539  2410  107.412
 100 James Madison                              21    11     0  2405  2197  107.357
 101 Memphis                                    19    15     0  2603  2390  107.353
 102 Rhode Island                               17    15     0  2220  2072  107.352
 103 Penn State                                 16    16     0  2107  2228  107.306
 104 Richmond                                   16    16     0  2450  2363  107.289
 105 Nevada                                     24    14     0  2878  2740  107.233
 106 Grand Canyon                               27     7     0  2581  2316  107.204
 107 IPFW                                       24    10     0  2701  2585  107.161
 108 Tennessee                                  15    19     0  2554  2556  107.155
 109 Oakland                                    23    12     0  3023  2746  107.120
 110 Nebraska                                   16    18     0  2456  2345  107.107
 111 Southern Illinois                          22    10     0  2360  2229  107.086
 112 Ohio U.                                    23    12     0  2746  2617  107.029
 113 Illinois                                   15    19     0  2452  2542  106.994
 114 UC-Santa Barbara                           19    14     0  2335  2219  106.994
 115 Oklahoma St                                12    20     0  2128  2148  106.981
 116 Illinois St                                18    14     0  2149  2114  106.968
 117 Mississippi St                             14    17     0  2323  2256  106.962
 118 UNLV                                       18    15     0  2581  2427  106.957
 119 Wake Forest                                11    20     0  2295  2450  106.905
 120 Iona                                       22    11     0  2628  2451  106.896
 121 Western Oregon                             33     4     0  2879  2512  106.875
 122 New Mexico                                 17    15     0  2432  2348  106.862
 123 Old Dominion                               25    13     0  2604  2339  106.821
 124 Columbia NY                                25    10     0  2670  2399  106.754
 125 Buffalo                                    20    15     0  2709  2634  106.751
 126 Texas-Arlington                            24    11     0  2762  2417  106.684
 127 East Tennessee St                          24    12     0  2813  2687  106.647
 128 UW-Green Bay                               23    13     0  3013  2880  106.641
 129 New Mexico St                              23    11     0  2424  2145  106.636
 130 TCU                                        12    21     0  2209  2359  106.604
 131 TAMU-Corpus Christi                        25     8     0  2428  2308  106.586
 132 CSU-Bakersfield                            24     9     0  2405  2104  106.571
 133 Belmont                                    20    12     0  2638  2510  106.373
 134 Morehead St                                23    14     0  2722  2553  106.365
 135 Northeastern                               18    15     0  2376  2339  106.363
 136 Utah St                                    16    15     0  2274  2217  106.343
 137 Weber St                                   26     9     0  2662  2344  106.274
 138 Coll of Charleston                         17    14     0  2028  1921  106.262
 139 Pepperdine                                 18    14     0  2349  2287  106.230
 140 Colorado St                                18    16     0  2700  2626  106.221
 141 Duquesne                                   17    17     0  2704  2677  106.207
 142 Kent St                                    19    13     0  2361  2317  106.142
 143 Louisiana Tech                             23    10     0  2624  2395  106.120
 144 Fordham                                    17    14     0  2206  2128  106.109
 145 Lincoln Memorial                           34     3     0  3561  2865  106.105
 146 Wright St                                  22    13     0  2399  2303  106.092
 147 Albany NY                                  24     9     0  2495  2180  106.047
 148 NW Missouri St                             27     6     0  2494  2140  106.042
 149 UNC-Asheville                              22    12     0  2552  2313  106.019
 150 Siena                                      21    13     0  2659  2492  105.995
 151 Auburn                                     11    20     0  2192  2421  105.976
 152 Midwestern St                              23     6     0  2472  2012  105.942
 153 North Dakota St                            20    13     0  2271  2129  105.937
 154 Towson                                     20    13     0  2358  2227  105.934
 155 Massachusetts                              14    18     0  2353  2427  105.914
 156 Northern Illinois                          21    13     0  2463  2285  105.856
 157 Minn St-Moorhead                           28     5     0  2935  2464  105.852
 158 UW-Milwaukee                               20    13     0  2618  2391  105.819
 159 Marshall                                   17    16     0  2838  2801  105.794
 160 Winthrop                                   23     9     0  2631  2429  105.784
 161 Ball St                                    21    14     0  2479  2338  105.764
 162 Eastern Michigan                           18    15     0  2553  2460  105.747
 163 Louisiana-Monroe                           20    14     0  2471  2360  105.738
 164 DePaul                                      9    22     0  2092  2325  105.736
 165 West Liberty                               31     4     0  3445  2783  105.735
 166 Nebraska-Omaha                             18    14     0  2729  2619  105.686
 167 High Point                                 21    11     0  2473  2258  105.644
 168 Louisiana-Lafayette                        19    15     0  2706  2476  105.641
 169 Indiana St                                 15    17     0  2170  2222  105.640
 170 Missouri                                   10    21     0  2126  2262  105.601
 171 Vermont                                    23    14     0  2774  2611  105.591
 172 UW-Parkside                                25     6     0  2588  2312  105.583
 173 Coastal Carolina                           21    12     0  2410  2196  105.554
 174 Montana                                    21    12     0  2393  2225  105.512
