Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 ALABAMA                                    25     4     0  2417  2004  111.612
   2 KANSAS                                     25     5     0  2284  2040  111.528
   3 HOUSTON                                    27     2     0  2207  1621  111.246
   4 UCLA                                       25     4     0  2138  1730  110.732
   5 GONZAGA                                    25     4     0  2557  2133  110.660
   6 PURDUE                                     23     5     0  2045  1739  110.418
   7 BAYLOR                                     22     8     0  2339  2097  110.401
   8 TEXAS                                      22     7     0  2296  1995  110.389
   9 TENNESSEE                                  22     8     0  2158  1702  110.113
  10 KANSAS ST.                                 22     7     0  2183  1971  110.046
  11 ARIZONA                                    24     5     0  2417  2066  109.938
  12 SAN DIEGO ST.                              23     6     0  2121  1882  109.816
  13 SAINT MARY'S (CA)                          24     6     0  2153  1773  109.791
  14 MARQUETTE                                  24     6     0  2415  2117  109.789
  15 UCONN                                      22     7     0  2289  1892  109.599
  16 VIRGINIA                                   22     6     0  1902  1694  109.514
  17 FLA. ATLANTIC                              26     3     0  2279  1891  109.266
  18 DUKE                                       22     8     0  2164  1921  109.223
  19 BOISE ST.                                  23     7     0  2162  1889  109.155
  20 MIAMI (FL)                                 23     6     0  2311  2075  109.150
  21 KENTUCKY                                   20     9     0  2175  1950  109.137
  22 XAVIER                                     21     8     0  2374  2154  109.105
  23 UTAH ST.                                   22     7     0  2274  2031  109.007
  24 INDIANA                                    20    10     0  2258  2049  108.968
  25 TEXAS A&M                                  22     8     0  2206  1972  108.930
  26 ARKANSAS                                   19    11     0  2240  1996  108.914
  27 NEVADA                                     22     8     0  2180  1990  108.910
  28 MEMPHIS                                    22     7     0  2317  2122  108.833
  29 MISSOURI                                   21     8     0  2320  2165  108.808
  30 MARYLAND                                   20     9     0  2066  1822  108.784
  31 TCU                                        19    10     0  2206  1961  108.776
  32 MICHIGAN ST.                               18    11     0  2035  1943  108.723
  33 AUBURN                                     19    10     0  2090  1910  108.573
  34 IOWA ST.                                   17    12     0  1981  1807  108.571
  35 NORTHWESTERN                               20     9     0  1970  1811  108.568
  36 CREIGHTON                                  18    11     0  2199  1975  108.541
  37 SOUTHERN CALIFORNIA                        21     8     0  2108  1923  108.527
  38 WEST VIRGINIA                              17    13     0  2290  2123  108.486
  39 NC STATE                                   22     9     0  2429  2179  108.461
  40 ILLINOIS                                   19    10     0  2151  1901  108.373
  41 NORTH TEXAS                                23     6     0  1845  1634  108.360
  42 IOWA                                       19    11     0  2421  2227  108.344
  43 MISSISSIPPI ST.                            20    10     0  1985  1796  108.331
  44 PROVIDENCE                                 21     8     0  2286  2033  108.288
  45 PITTSBURGH                                 21     8     0  2197  1983  108.234
  46 NORTH CAROLINA                             19    11     0  2313  2149  108.216
  47 NEW MEXICO                                 21     9     0  2433  2183  108.091
  48 SANTA CLARA                                23     8     0  2395  2262  108.037
  49 ARIZONA ST.                                20     9     0  2066  1948  108.023
  50 OKLAHOMA ST.                               16    14     0  2084  2003  107.933
  51 ORAL ROBERTS                               27     4     0  2606  2181  107.921
  52 RUTGERS                                    18    11     0  1986  1731  107.913
  53 COL. OF CHARLESTON                         28     3     0  2533  2108  107.873
  54 MICHIGAN                                   17    12     0  2129  1993  107.865
  55 VCU                                        23     7     0  2126  1884  107.851
  56 CLEMSON                                    21     9     0  2253  2046  107.754
  57 WISCONSIN                                  16    12     0  1824  1783  107.746
  58 OKLAHOMA                                   14    15     0  1973  1959  107.567
  59 OREGON                                     16    13     0  2044  1949  107.546
  60 VANDERBILT                                 16    12     0  2023  2010  107.534
  61 TEXAS TECH                                 16    14     0  2217  2059  107.449
  62 UAB                                        22     8     0  2456  2110  107.419
  63 PENN ST.                                   17    12     0  2110  1984  107.391
  64 SAM HOUSTON                                22     6     0  2066  1642  107.390
  65 NORTHWEST MO. ST.                          27     2     0  2163  1627  107.259
  66 FLORIDA                                    15    15     0  2155  2061  107.229
  67 WAKE FOREST                                18    12     0  2316  2215  107.186
  68 LIBERTY                                    25     7     0  2411  1922  107.158
  69 DRAKE                                      24     7     0  2345  2008  107.137
