Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 AUBURN                                     32     6     0  3153  2638  113.411
   2 FLORIDA                                    36     4     0  3391  2784  113.404
   3 HOUSTON                                    35     5     0  2946  2346  112.903
   4 DUKE                                       35     4     0  3246  2448  112.583
   5 ALABAMA                                    28     9     0  3355  3007  112.254
   6 TENNESSEE                                  30     8     0  2813  2397  112.170
   7 MICHIGAN ST.                               30     7     0  2874  2484  111.553
   8 MICHIGAN                                   27    10     0  2885  2644  110.907
   9 KENTUCKY                                   24    12     0  3040  2780  110.686
  10 ST. JOHN'S (NY)                            31     5     0  2825  2368  110.678
  11 TEXAS TECH                                 28     9     0  2993  2533  110.592
  12 TEXAS A&M                                  23    11     0  2537  2336  110.497
  13 OLE MISS                                   24    12     0  2779  2582  110.452
  14 MARYLAND                                   27     9     0  2919  2418  110.399
  15 WISCONSIN                                  27    10     0  2964  2622  110.352
  16 PURDUE                                     24    12     0  2781  2533  110.346
  17 OREGON                                     25    10     0  2679  2480  110.336
  18 LOUISVILLE                                 27     8     0  2747  2432  110.180
  19 ARIZONA                                    24    13     0  3052  2711  110.119
  20 IOWA ST.                                   25    10     0  2812  2392  110.034
  21 CLEMSON                                    27     7     0  2586  2236  109.949
  22 BYU                                        26    10     0  2931  2612  109.942
  23 SAINT MARY'S (CA)                          29     6     0  2551  2138  109.921
  24 ILLINOIS                                   22    13     0  2927  2619  109.842
  25 MEMPHIS                                    29     6     0  2797  2568  109.754
  26 UCLA                                       23    11     0  2522  2217  109.710
  27 MISSOURI                                   22    12     0  2844  2504  109.698
  28 GONZAGA                                    26     9     0  3024  2447  109.612
  29 KANSAS                                     21    13     0  2587  2365  109.537
  30 MISSISSIPPI ST.                            21    13     0  2704  2522  109.392
  31 DRAKE                                      31     4     0  2444  2062  109.297
  32 CREIGHTON                                  25    11     0  2717  2521  109.282
  33 OKLAHOMA                                   21    13     0  2671  2537  109.275
  34 ARKANSAS                                   22    14     0  2765  2571  109.238
  35 GEORGIA                                    20    13     0  2486  2307  109.162
  36 NEW MEXICO                                 27     8     0  2819  2472  109.119
  37 MARQUETTE                                  23    11     0  2603  2337  109.105
  38 NORTH CAROLINA                             23    14     0  2987  2763  108.933
  39 BAYLOR                                     20    15     0  2664  2443  108.899
  40 VANDERBILT                                 20    13     0  2604  2452  108.871
  41 UTAH ST.                                   26     8     0  2716  2381  108.843
  42 INDIANA                                    19    13     0  2389  2305  108.731
  43 COLORADO ST.                               26    10     0  2707  2425  108.677
  44 UCONN                                      23    12     0  2696  2391  108.606
  45 UC SAN DIEGO                               30     5     0  2777  2163  108.534
  46 WEST VIRGINIA                              19    13     0  2181  2074  108.507
  47 NEBRASKA                                   21    14     0  2660  2541  108.459
  48 OHIO ST.                                   17    15     0  2522  2353  108.416
  49 SAN DIEGO ST.                              21    10     0  2194  2004  108.399
  50 VCU                                        28     7     0  2693  2201  108.346
  51 TEXAS                                      19    16     0  2747  2542  108.310
  52 BOISE ST.                                  26    11     0  2804  2477  108.308
  53 XAVIER                                     22    12     0  2656  2434  108.173
  54 UC IRVINE                                  32     7     0  2962  2613  108.141
  55 WAKE FOREST                                21    11     0  2246  2177  108.060
  56 SMU                                        24    11     0  2797  2495  108.039
  57 SAN FRANCISCO                              25    10     0  2660  2420  107.798
  58 LIBERTY                                    28     7     0  2655  2219  107.696
  59 NORTHWESTERN                               17    16     0  2390  2282  107.662
  60 UCF                                        20    17     0  2951  2974  107.648
  61 BRADLEY                                    28     9     0  2823  2535  107.618
  62 MCNEESE                                    28     7     0  2680  2256  107.552
  63 CINCINNATI                                 19    16     0  2491  2318  107.512
  64 NORTH TEXAS                                27     9     0  2447  2165  107.445
  65 IOWA                                       17    16     0  2722  2630  107.444
  66 ALABAMAN ST.                                0     1     0    63    83  107.422
  67 GEORGE MASON                               27     9     0  2564  2296  107.397
  68 TCU                                        16    16     0  2162  2199  107.370
  69 SOUTHERN CALIFORNIA                        17    18     0  2685  2611  107.295
