Rnk Team                           W-  L     RATE      SOS
--- ----                           --  -  -------  -------
  1 Kansas                        18-  0   63.159   56.814 ( 36)
  2 Syracuse                      18-  0   63.136   56.991 ( 25)
  3 Ohio State                    18-  0   62.989   56.499 ( 53)
  4 Pittsburgh                    18-  1   62.541   56.971 ( 26)
  5 Duke                          16-  1   62.528   56.931 ( 28)
  6 San Diego St                  20-  0   62.276   55.839 (103)
  7 Villanova                     16-  1   62.137   56.760 ( 42)
  8 Brigham Young                 17-  1   62.081   56.714 ( 43)
  9 Connecticut                   14-  2   61.588   56.927 ( 29)
 10 Texas A&M                     16-  1   61.458   55.820 (108)
 11 Purdue                        15-  3   61.049   56.905 ( 30)
 12 West Virginia                 12-  4   60.926   58.193 (  2)
 13 Notre Dame                    16-  4   60.805   56.813 ( 37)
 14 Louisville                    15-  3   60.714   56.770 ( 41)
 15 Florida                       14-  4   60.702   57.526 (  9)
 16 Texas                         14-  3   60.586   56.424 ( 61)
 17 Cincinnati                    16-  2   60.528   55.439 (156)
 18 Michigan St                   12-  5   60.493   57.947 (  6)
 19 Georgetown DC                 13-  5   60.488   58.039 (  5)
 20 Wisconsin                     14-  4   60.448   56.664 ( 46)
 21 Kentucky                      19-  3   60.425   55.231 (178)
 22 Washington                    13-  4   60.395   57.255 ( 13)
 23 Arizona                       15-  3   60.371   56.391 ( 62)
 24 UNLV                          15-  4   60.369   56.770 ( 40)
 25 St Mary's CA                  16-  2   60.268   55.239 (175)
 26 Vanderbilt                    12-  4   60.255   57.123 ( 21)
 27 Central Florida               14-  2   60.226   55.581 (137)
 28 Minnesota                     14-  4   60.167   57.210 ( 15)
 29 Temple                        12-  4   60.066   57.125 ( 20)
 30 Missouri                      16-  3   59.947   55.485 (148)
 31 Illinois                      13-  5   59.921   57.304 ( 12)
 32 Wichita St                    15-  3   59.891   55.944 ( 95)
 33 Georgia                       13-  3   59.861   56.330 ( 68)
 34 Utah St                       16-  2   59.835   55.309 (170)
 35 Tennessee                     11-  6   59.770   58.129 (  4)
 36 St John's NY                  11-  6   59.757   58.182 (  3)
 37 North Carolina                12-  5   59.733   57.385 ( 10)
 38 Boston College                13-  5   59.731   57.332 ( 11)
 39 Marquette                     13-  6   59.722   57.061 ( 24)
 40 Missouri St                   15-  3   59.686   55.964 ( 94)
 41 Gonzaga                       13-  5   59.653   56.844 ( 33)
 42 Kansas St                     14-  5   59.600   56.644 ( 47)
 43 Old Dominion                  13-  4   59.564   56.579 ( 50)
 44 Oklahoma St                   13-  4   59.474   56.442 ( 58)
 45 Cleveland St                  16-  3   59.423   55.394 (160)
 46 Butler                        14-  6   59.217   56.835 ( 34)
 47 Washington St                 14-  5   59.181   56.110 ( 85)
 48 Portland                      15-  4   59.163   56.265 ( 73)
 49 Miami FL                      12-  5   59.123   56.835 ( 35)
 50 Belmont                       16-  3   59.085   54.846 (207)
 51 Virginia Tech                 11-  5   59.061   56.678 ( 45)
 52 Florida St                    13-  5   59.029   56.375 ( 64)
 53 Iowa St                       14-  4   59.027   55.504 (147)
 54 Clemson                       13-  4   59.012   55.819 (109)
 55 UTEP                          15-  4   58.927   55.612 (131)
 56 Xavier OH                     12-  6   58.891   57.203 ( 17)
 57 Southern Miss                 15-  3   58.890   54.783 (210)
 58 Nebraska                      13-  4   58.819   55.231 (177)
 59 James Madison                 15-  3   58.789   55.232 (176)
 60 Maryland                      11-  6   58.788   56.477 ( 55)
 61 Northwestern                  11-  5   58.781   56.437 ( 59)
 62 UCLA                          13-  6   58.760   56.690 ( 44)
 63 Alabama-Birmingham            11-  4   58.750   55.935 ( 98)
 64 Richmond                      13-  5   58.745   56.037 ( 90)
 65 Colorado                      14-  4   58.735   55.324 (166)
 66 Memphis                       13-  4   58.733   55.728 (123)
 67 Michigan                      11-  7   58.703   57.178 ( 18)
 68 George Mason                  12-  5   58.672   56.241 ( 75)
 69 Dayton                        14-  5   58.649   56.195 ( 77)
 70 Penn St                       10-  7   58.614   57.713 (  8)
 71 California                     9-  8   58.593   58.250 (  1)
 72 New Mexico                    13-  5   58.548   55.901 (100)
 73 Baylor                        12-  4   58.542   55.362 (163)
 74 Harvard                       12-  3   58.500   54.999 (199)
 75 South Carolina                11-  5   58.370   56.139 ( 81)
 76 Princeton                     11-  4   58.321   55.939 ( 97)
 77 Drexel                        11-  5   58.297   56.119 ( 83)
 78 Colorado St                   12-  5   58.214   55.834 (104)
 79 Arkansas                      12-  4   58.199   55.309 (171)
 80 Mississippi                   12-  6   58.161   56.221 ( 76)
 81 Stanford                      10-  6   58.119   56.557 ( 51)
 82 Valparaiso                    16-  5   58.067   54.559 (233)
 83 Coastal Carolina              16-  2   58.063   53.073 (332)
 84 VA Commonwealth               13-  5   58.011   55.689 (125)
 85 Rhode Island                  12-  6   57.991   56.172 ( 79)
 86 Coll of Charleston            12-  5   57.977   55.744 (120)
 87 Duquesne                      11-  5   57.909   55.268 (174)
 88 Northern Iowa                 14-  6   57.838   55.482 (150)
 89 Southern Cal                  10-  8   57.828   57.083 ( 23)
 90 Marshall                      13-  5   57.813   55.005 (198)
 91 North Carolina St             11-  6   57.785   56.081 ( 88)
 92 Vermont                       12-  4   57.757   55.037 (195)
 93 Providence RI                 12-  8   57.691   56.527 ( 52)
 94 Massachusetts                 11-  6   57.639   56.090 ( 87)
 95 Iona                          12-  6   57.559   55.594 (134)
 96 Rutgers                       10-  7   57.527   56.375 ( 63)
 97 Oakland                       13-  8   57.486   55.685 (126)
 98 Kent St                       12-  6   57.451   55.448 (155)
 99 Bellarmine                    15-  1   57.358   52.331 (366)
100 Tulsa                          9-  8   57.351   56.944 ( 27)
101 Virginia                      11-  7   57.293   55.842 (102)
102 Bucknell                      12-  7   57.291   55.814 (112)
103 Indiana                       10-  8   57.273   56.263 ( 74)
104 Creighton                     12-  7   57.257   55.814 (113)
105 Wright St                     12-  7   57.235   55.676 (128)
106 Seton Hall                     9- 10   57.207   57.207 ( 16)
107 West Liberty St               13-  0   57.206   51.061 (475)
108 Long Beach St                 11-  8   57.189   56.475 ( 56)
109 Quinnipiac                    12-  4   57.110   54.588 (228)
110 Ball St                       11-  4   57.090   54.326 (256)
111 CSU-Dominguez Hills           13-  1   56.976   52.177 (380)
112 Fairfield                     12-  4   56.972   54.110 (273)
113 Hofstra                       11-  6   56.961   55.305 (172)
114 Arizona St                     9-  8   56.956   56.589 ( 49)
115 Alabama                       10-  7   56.910   55.484 (149)
116 Rider                         12-  6   56.870   54.937 (205)
117 American U.                   13-  6   56.859   54.966 (203)
118 St Bonaventure                 9-  7   56.850   56.300 ( 70)
119 Montana                       14-  5   56.846   53.885 (291)
120 Hampton                       13-  4   56.828   54.099 (275)
121 Missouri Southern             13-  1   56.822   51.879 (403)
122 Georgia Tech                   8-  8   56.816   56.599 ( 48)
123 Murray St                     13-  5   56.807   54.142 (270)
124 UC-Santa Barbara              11-  6   56.747   55.121 (185)
125 Indiana St                    12-  7   56.723   55.074 (190)
126 Jacksonville FL               11-  5   56.690   54.780 (211)
127 Furman                        13-  5   56.668   54.053 (280)
128 North Texas                   14-  4   56.655   53.688 (307)
129 South Florida                  7- 12   56.642   57.913 (  7)
130 Incarnate Word                13-  1   56.597   51.734 (411)
131 Akron                         10-  7   56.560   55.317 (168)
132 LIU-Brooklyn                  14-  4   56.524   53.393 (320)
133 Central Oklahoma              17-  2   56.465   51.750 (410)
134 Florida Atlantic              15-  7   56.456   54.490 (240)
