Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Kentucky                                   29     0     0  2175  1542  116.219
   2 Virginia                                   27     1     0  1850  1403  115.308
   3 Duke                                       26     3     0  2341  1909  114.386
   4 Villanova                                  27     2     0  2196  1768  114.361
   5 Wisconsin                                  26     3     0  2074  1617  114.223
   6 Arizona                                    26     3     0  2186  1697  113.856
   7 Kansas                                     23     6     0  2080  1874  113.502
   8 Gonzaga                                    30     2     0  2534  1932  113.265
   9 Louisville                                 23     6     0  2037  1707  112.609
  10 Baylor                                     22     7     0  2025  1724  112.544
  11 Utah                                       23     6     0  2126  1601  112.366
  12 Notre Dame                                 24     5     0  2294  1897  112.355
  13 Maryland                                   24     5     0  2036  1845  112.333
  14 Oklahoma                                   20     8     0  2028  1742  112.301
  15 Wichita St                                 27     3     0  2113  1676  112.288
  16 Iowa St                                    20     8     0  2214  1942  112.154
  17 North Carolina                             20     9     0  2265  1981  112.111
  18 West Virginia                              22     7     0  2146  1911  112.017
  19 Northern Iowa                              27     3     0  1954  1637  111.887
  20 Butler                                     22     8     0  2131  1812  111.801
  21 Arkansas                                   23     6     0  2294  2031  111.696
  22 Georgetown DC                              18     9     0  1936  1763  111.477
  23 Providence RI                              20     9     0  2039  1907  111.400
  24 Ohio State                                 21     8     0  2231  1771  111.185
  25 St John's NY                               20     9     0  2087  1934  111.154
  26 SMU                                        23     6     0  2019  1732  111.032
  27 VA Commonwealth                            21     8     0  2114  1889  111.017
  28 Michigan St                                19    10     0  2091  1813  110.937
  29 Iowa                                       19    10     0  2017  1798  110.844
  30 LSU                                        21     8     0  2144  1938  110.814
  31 Oregon                                     22     8     0  2292  2114  110.774
  32 Georgia                                    19     9     0  1936  1799  110.751
  33 Texas                                      17    12     0  1987  1763  110.750
  34 Texas A&M                                  20     8     0  1902  1736  110.711
  35 Oklahoma St                                17    11     0  1884  1717  110.700
  36 San Diego St                               22     7     0  1808  1554  110.612
  37 Xavier OH                                  18    12     0  2243  2034  110.557
  38 Dayton                                     22     6     0  1927  1702  110.515
  39 Davidson                                   21     6     0  2148  1846  110.455
  40 North Carolina St                          17    12     0  2052  1894  110.397
  41 Colorado St                                24     5     0  2111  1848  110.374
  42 Brigham Young                              23     8     0  2604  2230  110.370
  43 Purdue                                     19    10     0  2066  1869  110.320
  44 Mississippi                                19    10     0  2107  1940  110.281
  45 Syracuse                                   20    11     0  2152  1938  110.275
  46 Stanford                                   18    10     0  2056  1856  110.186
  47 Indiana                                    24    11     0  2869  2548  110.151
  48 Boise St                                   23     7     0  2142  1807  110.104
  49 Illinois                                   18    11     0  2041  1828  110.085
  50 UCLA                                       18    12     0  2131  2031  109.978
  51 Miami FL                                   18    11     0  1986  1840  109.974
  52 Pittsburgh                                 19    11     0  2040  1961  109.928
  53 Rhode Island                               20     7     0  1819  1580  109.821
  54 Tulsa                                      21     7     0  1846  1693  109.802
  55 Cincinnati                                 20     9     0  1809  1600  109.729
  56 St Mary's CA                               21     8     0  2025  1840  109.688
  57 Temple                                     20     9     0  1858  1737  109.629
  58 Minnesota                                  17    12     0  2157  1931  109.500
  59 Seton Hall                                 16    12     0  1930  1877  109.496
  60 Old Dominion                               22     6     0  1832  1597  109.491
  61 Kansas St                                  15    15     0  1902  1913  109.472
  62 Alabama                                    17    12     0  1939  1838  109.445
  63 TCU                                        17    12     0  1977  1758  109.435
  64 Stephen F. Austin                          24     4     0  2209  1799  109.428
  65 Clemson                                    16    12     0  1743  1704  109.349
  66 Florida                                    14    15     0  1867  1728  109.284
  67 Vanderbilt                                 18    12     0  2084  1871  109.172
  68 Murray St                                  26     4     0  2364  2002  109.140
  69 Michigan                                   14    14     0  1781  1771  109.060
  70 Connecticut                                17    11     0  1839  1703  109.032
  71 UW-Green Bay                               23     7     0  2082  1827  109.015
  72 Valparaiso                                 26     5     0  2190  1857  108.935
  73 Arizona St                                 15    14     0  2017  1927  108.928
  74 California                                 18    12     0  2004  1968  108.857
  75 George Washington                          18    11     0  1932  1783  108.830
  76 Louisiana Tech                             23     7     0  2196  1937  108.826
  77 Buffalo                                    19     9     0  2073  1901  108.821
  78 Richmond                                   17    12     0  1902  1761  108.819
  79 South Carolina                             14    14     0  1827  1733  108.779
  80 Harvard                                    20     6     0  1684  1485  108.714
  81 Illinois St                                19    11     0  2071  1866  108.675
  82 Massachusetts                              17    12     0  2033  2036  108.657
  83 Oregon St                                  17    12     0  1754  1691  108.655
  84 Wofford                                    25     6     0  2068  1856  108.650
  85 Tennessee                                  14    14     0  1759  1791  108.646
  86 UC-Davis                                   22     5     0  1929  1739  108.595
  87 Bellarmine                                 25     2     0  2190  1813  108.571
  88 Iona                                       24     7     0  2469  2249  108.499
  89 UTEP                                       19     9     0  1932  1774  108.465
  90 Florida St                                 15    15     0  2018  2027  108.407
  91 Florida Southern                           27     1     0  2497  2079  108.393
  92 Wyoming                                    21     8     0  1789  1624  108.388
  93 Washington                                 15    13     0  1935  1902  108.371
  94 Toledo                                     19    10     0  2203  2031  108.332
  95 Penn St                                    15    14     0  1933  1910  108.307
  96 Central Michigan                           21     6     0  2119  1792  108.254
  97 Colorado                                   13    15     0  1875  1860  108.216
