Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 PURDUE                                     31     4     0  2936  2432  111.996
   2 HOUSTON                                    32     4     0  2669  2078  111.826
   3 UCONN                                      32     3     0  2841  2210  111.798
   4 NORTH CAROLINA                             29     7     0  2945  2519  110.629
   5 TENNESSEE                                  26     8     0  2688  2279  110.542
   6 IOWA ST.                                   29     7     0  2718  2205  110.506
   7 ARIZONA                                    27     8     0  3065  2517  110.267
   8 ILLINOIS                                   28     8     0  3044  2641  110.083
   9 AUBURN                                     27     8     0  2909  2391  110.048
  10 MARQUETTE                                  27     9     0  2830  2516  109.976
  11 DUKE                                       26     8     0  2712  2260  109.797
  12 ALABAMA                                    23    11     0  3085  2751  109.676
  13 CREIGHTON                                  25     9     0  2740  2364  109.589
  14 BAYLOR                                     24    11     0  2814  2489  109.260
  15 UTAH ST.                                   28     7     0  2788  2497  109.260
  16 SAN DIEGO ST.                              26    10     0  2690  2385  109.218
  17 GONZAGA                                    27     7     0  2891  2340  109.163
  18 SOUTH CAROLINA                             26     8     0  2450  2297  109.128
  19 KANSAS                                     23    11     0  2569  2376  109.079
  20 CLEMSON                                    23    11     0  2626  2402  109.053
  21 DAYTON                                     25     8     0  2448  2193  109.036
  22 COLORADO                                   26    11     0  2935  2654  108.974
  23 NEVADA                                     26     8     0  2582  2276  108.907
  24 WISCONSIN                                  22    14     0  2688  2520  108.866
  25 KENTUCKY                                   23    10     0  2938  2630  108.820
  26 NEW MEXICO                                 26    10     0  2916  2545  108.817
  27 WASHINGTON ST.                             25    10     0  2574  2335  108.728
  28 FLORIDA                                    24    12     0  3080  2851  108.722
  29 BYU                                        23    11     0  2768  2378  108.706
  30 DRAKE                                      28     7     0  2797  2463  108.687
  31 SAINT MARY'S (CA)                          26     8     0  2516  2013  108.676
  32 COLORADO ST.                               25    11     0  2707  2422  108.640
  33 INDIANA ST.                                30     6     0  3047  2604  108.615
  34 NEBRASKA                                   23    11     0  2643  2411  108.595
  35 TEXAS TECH                                 23    11     0  2561  2368  108.594
  36 OREGON                                     24    12     0  2721  2602  108.475
  37 NORTHWESTERN                               22    12     0  2493  2348  108.425
  38 ROCKY MOUNTAIN                              3     0     0   237   226  108.398
  39 MICHIGAN ST.                               20    15     0  2551  2312  108.368
  40 GRAND CANYON                               30     5     0  2769  2346  108.335
  41 TEXAS                                      21    13     0  2563  2342  108.320
  42 FLA. ATLANTIC                              25     9     0  2789  2495  108.320
  43 VIRGINIA                                   23    11     0  2140  2033  108.307
  44 BOISE ST.                                  22    11     0  2479  2221  108.261
  45 PITTSBURGH                                 22    11     0  2495  2232  108.251
  46 NC STATE                                   24    14     0  2908  2757  108.236
  47 MISSISSIPPI ST.                            21    14     0  2593  2417  108.209
  48 OHIO ST.                                   22    13     0  2641  2449  108.171
  49 TEXAS A&M                                  21    15     0  2736  2591  108.146
  50 ST. JOHN'S (NY)                            21    12     0  2607  2352  108.133
  51 OKLAHOMA                                   20    12     0  2412  2201  108.075
  52 SYRACUSE                                   20    12     0  2442  2420  108.021
  53 UTAH                                       21    14     0  2751  2554  107.975
  54 SETON HALL                                 22    12     0  2476  2375  107.949
  55 TCU                                        21    13     0  2687  2439  107.902
  56 CINCINNATI                                 22    14     0  2684  2437  107.873
  57 WAKE FOREST                                21    14     0  2733  2473  107.789
  58 OLE MISS                                   20    12     0  2398  2365  107.646
  59 MINNESOTA ST.                              32     2     0  2876  2377  107.620
  60 PROVIDENCE                                 21    14     0  2534  2407  107.619
  61 JAMES MADISON                              32     4     0  2995  2506  107.603
  62 DUQUESNE                                   25    12     0  2611  2467  107.594
  63 UNLV                                       21    12     0  2433  2250  107.546
  64 INDIANA                                    19    14     0  2386  2452  107.539
  65 COL. OF IDAHO                               1     0     0    68    66  107.512
  66 MEMPHIS                                    22    10     0  2576  2424  107.505
  67 IOWA                                       19    15     0  2827  2700  107.498
  68 SOUTH FLA.                                 25     8     0  2499  2288  107.456
  69 VIRGINIA TECH                              19    15     0  2547  2413  107.418
  70 VCU                                        24    13     0  2643  2460  107.372
  71 KANSAS ST.                                 19    15     0  2454  2417  107.363
  72 PRINCETON                                  24     5     0  2235  1932  107.285
  73 VILLANOVA                                  18    16     0  2388  2231  107.278
  74 RICHMOND                                   23    10     0  2372  2188  107.274
  75 BRADLEY                                    23    12     0  2592  2348  107.255
  76 LOYOLA CHICAGO                             23    10     0  2412  2228  107.213
  77 FLORIDA ST.                                17    16     0  2526  2518  107.174
  78 BOSTON COLLEGE                             20    16     0  2667  2587  107.078
  79 BUTLER                                     18    15     0  2544  2432  107.065
  80 WASHINGTON                                 17    15     0  2579  2468  107.062
  81 GEORGIA                                    19    16     0  2618  2603  107.060
  82 SAMFORD                                    29     6     0  3012  2607  107.026
  83 MCNEESE                                    30     4     0  2719  2116  106.913
  84 XAVIER                                     16    18     0  2579  2538  106.900
  85 UAB                                        23    12     0  2711  2627  106.892
  86 MINNESOTA                                  19    15     0  2550  2444  106.743
  87 UCF                                        17    16     0  2366  2242  106.737
  88 SAN FRANCISCO                              23    11     0  2643  2262  106.629
  89 APP STATE                                  27     7     0  2665  2283  106.612
  90 COL. OF CHARLESTON                         27     8     0  2832  2575  106.604
  91 LSU                                        17    16     0  2520  2474  106.540
  92 NORTHWEST MO. ST.                          29     5     0  2482  2004  106.503
  93 YALE                                       23    10     0  2465  2226  106.499
  94 VERMONT                                    28     7     0  2506  2205  106.497
  95 MASSACHUSETTS                              20    11     0  2401  2193  106.415
  96 UC IRVINE                                  24    10     0  2639  2321  106.387
  97 SOUTHERN CALIFORNIA                        15    18     0  2446  2452  106.371
  98 SMU                                        20    13     0  2535  2271  106.368
  99 ARKANSAS                                   16    17     0  2566  2633  106.360
 100 MARYLAND                                   16    17     0  2278  2174  106.352
 101 GEORGE MASON                               20    12     0  2273  2109  106.325
 102 PENN ST.                                   16    17     0  2478  2422  106.291
 103 NOVA SOUTHEASTERN                          30     2     0  3253  2517  106.290
 104 RUTGERS                                    15    17     0  2092  2129  106.272
 105 ST. BONAVENTURE                            20    13     0  2424  2265  106.269
 106 SAINT JOSEPH'S                             21    14     0  2641  2469  106.206
 107 MIAMI (FL)                                 15    17     0  2424  2356  106.193
 108 NORTH TEXAS                                19    15     0  2353  2169  106.167
 109 CORNELL                                    22     8     0  2463  2241  106.167
 110 SANTA CLARA                                20    13     0  2538  2384  106.159
 111 TARLETON ST.                               25     9     0  2521  2329  106.119
 112 UNI                                        19    14     0  2417  2346  106.087
 113 UCLA                                       16    17     0  2177  2160  106.038
 114 GEORGIA TECH                               14    18     0  2272  2407  106.018
 115 MINN. DULUTH                               26     7     0  2638  2319  105.990
 116 CHARLOTTE                                  19    12     0  2131  2034  105.983
 117 SOUTHWESTERN (KS)                           1     0     0    72    62  105.958
 118 OAKLAND                                    24    12     0  2751  2634  105.916
 119 WEST TEX. A&M                              29     4     0  2798  2400  105.846
 120 MSU MOORHEAD                               25     6     0  2405  2197  105.843
 121 ARIZONA ST.                                13    18     0  2127  2301  105.829
 122 AKRON                                      24    11     0  2577  2316  105.763
 123 STANFORD                                   14    18     0  2443  2447  105.755
 124 BELMONT                                    20    13     0  2570  2493  105.735
 125 LOUISIANA TECH                             22    10     0  2392  2065  105.637
 126 SOUTHERN ILL.                              19    13     0  2325  2183  105.481
 127 CALIFORNIA                                 13    19     0  2367  2465  105.367
 128 MOREHEAD ST.                               26     9     0  2635  2220  105.333
 129 HIGH POINT                                 25     8     0  2779  2449  105.318
