Rank                                           Won  Lost  Tied    PF    PA   Rating
 126 Belmont                                     8     6     0  1114  1096   57.321
 127 CSU-San Bernardino                          7     2     0   718   685   57.235
 128 Fresno St                                   7     6     0   991   930   57.193
 129 Illinois St                                 7     5     0   871   881   57.164
 130 Portland                                    8     5     0  1050   940   57.142
 131 Virginia Tech                               7     5     0   880   833   57.085
 132 Cleveland St                                8     6     0  1073   979   57.082
 133 Western Kentucky                            8     4     0   814   772   57.067
 134 Miami FL                                    7     5     0   774   736   57.046
 135 South Florida                               9     4     0   904   869   56.998
 136 George Mason                                6     6     0   783   793   56.978
 137 UC-Irvine                                   8     7     0  1155  1061   56.966
 138 Temple                                      5     5     0   799   753   56.958
 139 Metropolitan St                            11     2     0  1032   872   56.936
 140 Northwestern                                7     6     0   867   822   56.927
 141 North Carolina Central                      7     3     0   759   635   56.923
 142 UW-Milwaukee                               11     4     0  1104  1012   56.891
 143 Colorado Mines                             10     0     0   956   698   56.885
 144 Boston U.                                   7     6     0   932   932   56.795
 145 Oral Roberts                                6     6     0   803   807   56.785
 146 San Francisco                               8     5     0  1065  1001   56.770
 147 Missouri Southern                           9     1     0   894   694   56.763
 148 Drury                                       9     0     0   767   623   56.750
 149 Fordham                                     7     5     0   933   923   56.733
 150 Lake Superior St                           11     1     0  1012   869   56.722
 151 Denver                                      6     7     0   844   853   56.682
 152 La Salle                                    6     6     0   834   831   56.680
 153 Western Michigan                            7     5     0   873   804   56.662
 154 Seattle Pacific                            11     2     0  1043   873   56.525
 155 San Diego                                   9     5     0   986   865   56.522
 156 Montana                                     5     4     0   654   643   56.510
 157 St Bonaventure                              8     4     0   902   817   56.500
 158 TCU                                         9     5     0   968   956   56.491
 159 Eastern Kentucky                            9     4     0  1018   872   56.479
 160 Stony Brook                                 9     4     0   990   910   56.452
 161 East Carolina                              10     4     0  1188  1036   56.440
 162 Middle Tennessee St                         8     5     0   986   890   56.418
 163 Florida Southern                           12     2     0  1261  1125   56.416
 164 UW-Stevens Point                           10     0     0   830   635   56.364
 165 Pepperdine                                  8     5     0   951   920   56.345
 166 Delaware                                    6     6     0   985   968   56.318
 167 Seattle U.                                  8     4     0   879   806   56.314
 168 Oakland                                     5    10     0  1105  1143   56.314
 169 Morehead St                                 8     6     0  1095  1032   56.288
 170 Colgate                                     6     4     0   757   679   56.285
 171 St Francis NY                               8     5     0   834   825   56.273
 172 Elon                                        8     6     0  1158  1009   56.271
 173 Findlay                                     7     1     0   733   572   56.251
 174 Buffalo                                     6     4     0   721   690   56.243
 175 Rider                                       6     5     0   884   891   56.231
 176 Montevallo                                  9     1     0   772   644   56.215
 177 Bellarmine                                  8     1     0   754   618   56.191
 178 Arkansas St                                 7     5     0   932   916   56.189
 179 Canisius                                    9     5     0  1068  1042   56.172
 180 Indiana PA                                 10     0     0   751   570   56.146
 181 Algonquin                                  10     0     0   916   623   56.135
 182 Bowling Green                               6     6     0   797   779   56.096
 183 Chaminade                                   5     5     0   789   809   56.095
 184 Central Florida                             8     3     0   881   739   56.077
 185 Columbia NY                                 7     6     0   861   781   56.075
 186 Georgia                                     6     5     0   806   762   56.043
 187 Valparaiso                                  8     7     0  1201  1057   55.971
 188 New Orleans                                 3     5     0   558   605   55.960
 189 Lehigh                                      7     5     0   826   842   55.952
 190 Louisiana-Monroe                            3     5     0   525   563   55.926
 191 South Dakota St                             8     7     0  1089  1075   55.918
 192 Long Beach St                               4     9     0   875   974   55.917
 193 Iona                                        5     6     0   879   873   55.886
 194 Rhode Island                                7     6     0   877   873   55.845
 195 UNB                                         6     1     0   632   584   55.808
 196 West Liberty                                8     0     0   930   668   55.758
 197 Sam Houston St                              8     4     0   934   826   55.751
 198 Bucknell                                    5     6     0   725   721   55.747
 199 North Texas                                 7     5     0   889   913   55.740
 200 Western Washington                          8     2     0   920   783   55.708
 201 Central Missouri                           10     2     0   977   822   55.701
 202 Winona St                                  11     2     0  1046   852   55.681
 203 Boston College                              4     9     0   952  1009   55.674
 204 Cal Poly SLO                                4     8     0   772   766   55.669
 205 Houston                                     9     5     0  1031   952   55.628
 206 Nevada                                      5     8     0   999  1041   55.628
 207 Michigan Tech                               7     2     0   747   641   55.573
 208 Bryant                                      7     7     0  1030  1045   55.562
 209 Towson                                      7     7     0   993   972   55.560
 210 Southern Indiana                            8     1     0   783   675   55.556
 211 Northwestern St                             4     7     0   959   985   55.543
 212 South Alabama                               6     7     0   943   887   55.539
 213 Jackson St                                  4     8     0   772   841   55.538
 214 Evansville                                  7     6     0   963   920   55.516
 215 Youngstown St                               9     6     0  1230  1094   55.510
 216 Monmouth NJ                                 6     6     0   873   879   55.510
 217 Lewis                                       7     0     0   545   477   55.497
 218 SC-Upstate                                  6     6     0   866   869   55.495
 219 Tulsa                                       4     9     0   939   986   55.488
 220 Eastern Washington                          5     6     0   832   825   55.474
 221 Coll of Charleston                          6     7     0   810   817   55.452
 222 St Mary's TX                                8     2     0   708   661   55.439
 223 Detroit Mercy                               6     8     0  1051  1015   55.390
 224 East Stroudsburg                           11     0     0   965   734   55.382
 225 Texas-Arlington                             5     7     0   983   966   55.365
 226 Georgia Regents                            10     1     0   876   806   55.344
 227 Quinnipiac                                  6     5     0   834   798   55.340
 228 Washburn                                   10     1     0   930   813   55.331
 229 SE Missouri St                              8     5     0  1082   958   55.325
 230 Northern Illinois                           6     5     0   753   700   55.308
 231 CSU-San Marcos                             14     2     0  1407  1180   55.290
 232 Minn St-Mankato                            11     2     0  1117   848   55.286
 233 Georgia St                                  7     6     0  1023   952   55.283
 234 San Francisco St                            5     3     0   584   567   55.263
 235 Holy Cross MA                               6     6     0   877   872   55.251
 236 Santa Clara                                 7     7     0  1018   965   55.248
 237 Ottawa ON                                   9     3     0  1068   934   55.243
 238 Rutgers                                     6     7     0  1010   981   55.196
 239 McGill                                      5     1     0   424   388   55.167
 240 Barry                                       9     0     0   781   665   55.137
 241 CSU-Los Angeles                             7     1     0   609   551   55.120
 242 Shepherd                                    9     1     0   870   782   55.098
 243 Wooster                                     9     1     0   709   602   55.093
 244 East Tennessee St                           7     6     0   982   982   55.070
 245 Davidson                                    4     9     0   980  1062   55.055
 246 Cabrini                                     9     0     0   848   720   55.054
 247 IPFW                                       10     5     0  1165  1050   55.010
 248 Indianapolis                                8     0     0   742   565   54.983
 249 CSU-Bakersfield                             8     7     0  1095  1007   54.967
 250 Coastal Carolina                            6     6     0   886   825   54.929
 251 Franklin Pierce                            11     1     0  1040   860   54.917
 252 Albany NY                                   6     6     0   797   799   54.891
 253 TAMU-Commerce                              11     1     0  1050   947   54.856
 254 Northeastern                                3     9     0   801   831   54.853
 255 Norfolk St                                  8     5     0  1050   997   54.812
 256 Angelo St                                  10     2     0   932   828   54.812
 257 William & Mary                              6     5     0   799   789   54.811
 258 Dominican CA                               10     3     0  1060  1018   54.808
 259 Marshall                                    6     7     0  1111   987   54.807
 260 CSU-Northridge                              8     5     0   987   975   54.778
 261 Radford                                     8     4     0   924   847   54.777
 262 Idaho                                       6     8     0  1009  1042   54.721
 263 CSU-Stanislaus                              6     3     0   688   615   54.691
 264 CSU-Fullerton                               6     8     0   983   984   54.687
 265 UNC-Wilmington                              6     8     0   940  1015   54.669
 266 Old Dominion                                5     8     0   842   855   54.639
