Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 VIRGINIA                                   16     1     0  1258   899  114.181
   2 TENNESSEE                                  16     1     0  1464  1132  113.617
   3 DUKE                                       18     2     0  1801  1326  113.612
   4 MICHIGAN ST                                16     2     0  1524  1200  113.455
   5 KANSAS                                     15     3     0  1404  1257  113.413
   6 MICHIGAN                                   17     1     0  1306  1027  113.164
   7 GONZAGA                                    18     2     0  1822  1354  112.812
   8 HOUSTON                                    18     1     0  1418  1149  112.433
   9 MARYLAND                                   16     3     0  1457  1245  112.305
  10 TEXAS TECH                                 15     3     0  1289  1005  111.949
  11 MARQUETTE                                  16     3     0  1507  1309  111.945
  12 NEVADA                                     18     1     0  1511  1251  111.879
  13 BUFFALO                                    17     1     0  1532  1254  111.779
  14 NORTH CAROLINA                             14     4     0  1571  1320  111.762
  15 VIRGINIA TECH                              15     2     0  1334  1012  111.758
  16 LSU                                        14     3     0  1403  1213  111.636
  17 OKLAHOMA                                   12     5     0  1248  1147  111.594
  18 KENTUCKY                                   15     3     0  1458  1226  111.573
  19 IOWA                                       17     3     0  1676  1417  111.553
  20 KANSAS ST                                  14     4     0  1181  1066  111.377
  21 LOUISVILLE                                 14     5     0  1529  1279  111.309
  22 IOWA ST                                    14     4     0  1416  1156  111.307
  23 PURDUE                                     12     6     0  1407  1229  111.207
  24 VILLANOVA                                  14     4     0  1366  1209  111.198
  25 MISSISSIPPI ST                             14     3     0  1343  1158  111.106
  26 TCU                                        13     4     0  1342  1143  111.059
  27 NEBRASKA                                   13     5     0  1398  1104  111.053
  28 AUBURN                                     13     4     0  1432  1146  111.040
  29 WISCONSIN                                  13     6     0  1403  1205  110.885
  30 FLORIDA ST                                 13     5     0  1399  1258  110.699
  31 MINNESOTA                                  14     4     0  1338  1252  110.493
  32 CENTRAL FLORIDA                            14     3     0  1266  1084  110.461
  33 TEXAS                                      11     7     0  1290  1174  110.412
  34 INDIANA                                    12     6     0  1343  1185  110.352
  35 ST JOHN'S NY                               15     4     0  1565  1379  110.331
  36 MISSISSIPPI                                17     4     0  1684  1451  110.308
  37 WASHINGTON                                 14     4     0  1307  1170  110.266
  38 TEMPLE                                     14     4     0  1354  1271  110.239
  39 CINCINNATI                                 18     4     0  1649  1350  110.232
  40 SYRACUSE                                   13     5     0  1292  1140  110.224
  41 OHIO STATE                                 12     5     0  1275  1102  110.169
  42 ARIZONA                                    14     5     0  1408  1254  110.128
  43 VA COMMONWEALTH                            13     5     0  1250  1126  109.968
  44 NORTH CAROLINA ST                          15     3     0  1561  1238  109.951
  45 ALABAMA                                    11     6     0  1292  1231  109.894
  46 ARIZONA ST                                 14     5     0  1528  1380  109.878
  47 SAN FRANCISCO                              16     3     0  1462  1190  109.862
  48 SETON HALL                                 12     7     0  1433  1364  109.802
  49 BUTLER                                     12     7     0  1412  1278  109.567
  50 WOFFORD                                    15     4     0  1554  1212  109.550
  51 TOLEDO                                     15     3     0  1452  1225  109.495
  52 CLEMSON                                    12     6     0  1293  1195  109.493
  53 FLORIDA                                    10     7     0  1175  1041  109.410
  54 NORTH TEXAS                                17     2     0  1437  1187  109.380
  55 UNC-GREENSBORO                             17     3     0  1547  1324  109.340
  56 HOFSTRA                                    17     3     0  1648  1379  109.311
  57 FRESNO ST                                  13     4     0  1317  1123  109.306
  58 ST LOUIS U.                                14     4     0  1210  1120  109.288
  59 BAYLOR                                     11     6     0  1214  1084  109.225
  60 MISSOURI                                   10     6     0  1093  1043  109.165
  61 NORTHWESTERN                               11     6     0  1198  1082  109.156
  62 MURRAY ST                                  15     2     0  1428  1122  109.152
  63 NW MISSOURI ST                             17     0     0  1494  1079  109.151
  64 DAVIDSON                                   13     5     0  1303  1198  109.149
  65 LIPSCOMB                                   13     4     0  1438  1175  109.129
  66 NEW MEXICO ST                              15     4     0  1496  1288  109.058
  67 CREIGHTON                                  10     8     0  1503  1396  109.054
  68 PITTSBURGH                                 12     6     0  1373  1202  108.995
  69 DAYTON                                     13     6     0  1447  1314  108.896
  70 UTAH ST                                    15     5     0  1598  1290  108.887
  71 CARLETON ON                                27     0     0  2523  1586  108.874
  72 MEMPHIS                                    12     6     0  1512  1380  108.860
  73 BELLARMINE                                 16     0     0  1348  1034  108.793
  74 XAVIER OH                                  11     8     0  1403  1360  108.765
  75 OREGON                                     11     7     0  1297  1169  108.705
  76 VERMONT                                    18     4     0  1688  1394  108.688
  77 ST MARY'S CA                               13     7     0  1542  1305  108.670
  78 OREGON ST                                  11     6     0  1252  1143  108.668
  79 BELMONT                                    13     4     0  1467  1302  108.666
  80 GEORGIA ST                                 14     5     0  1459  1386  108.647
  81 YALE                                       11     3     0  1163  1045  108.625
  82 ARKANSAS                                   10     7     0  1348  1255  108.621
  83 PROVIDENCE RI                              11     7     0  1335  1259  108.534
  84 NOTRE DAME                                 11     7     0  1345  1243  108.496
  85 MARSHALL                                   12     6     0  1474  1463  108.466
  86 OKLAHOMA ST                                 8    10     0  1256  1256  108.360
  87 GEORGETOWN DC                              11     6     0  1389  1305  108.342
  88 TEXAS ST-SAN MARCOS                        16     3     0  1440  1176  108.311
  89 UCLA                                       10     8     0  1404  1352  108.302
  90 TULSA                                      12     7     0  1347  1313  108.263
  91 DRAKE                                      14     5     0  1490  1353  108.249
  92 OLD DOMINION                               15     5     0  1372  1202  108.232
  93 WEST VIRGINIA                               9     9     0  1343  1320  108.184
  94 DEPAUL                                     11     6     0  1319  1232  108.164
  95 STONY BROOK                                16     3     0  1385  1258  108.135
  96 EAST TENNESSEE ST                          16     5     0  1681  1400  108.111
  97 NORTHERN KENTUCKY                          17     4     0  1673  1392  108.105
  98 SOUTHERN CAL                               10     7     0  1312  1221  108.090
  99 FURMAN                                     15     4     0  1511  1281  107.989
 100 BOSTON COLLEGE                             10     7     0  1273  1241  107.989
 101 UC-IRVINE                                  16     5     0  1516  1351  107.918
 102 KENT ST                                    14     4     0  1374  1283  107.855
 103 BALL ST                                    12     7     0  1564  1392  107.823
 104 WICHITA ST                                  8     9     0  1196  1218  107.812
 105 GEORGIA TECH                               10     8     0  1252  1145  107.811
 106 GEORGIA                                     9     8     0  1261  1229  107.788
 107 PENNSYLVANIA                               11     6     0  1266  1161  107.774
 108 LOYOLA-CHICAGO                             12     7     0  1307  1159  107.774
 109 LIBERTY                                    16     4     0  1534  1193  107.771
 110 DUQUESNE                                   12     5     0  1262  1204  107.765
 111 SOUTH CAROLINA                              9     8     0  1273  1231  107.758
 112 COLL OF CHARLESTON                         15     6     0  1548  1401  107.723
 113 PENN STATE                                  7    12     0  1288  1295  107.721
 114 BOWLING GREEN                              14     5     0  1518  1305  107.720
 115 MIAMI FL                                    9     8     0  1300  1206  107.658
 116 NORTHEASTERN                               11     8     0  1436  1382  107.637
 117 CONNECTICUT                                11     8     0  1496  1367  107.617
 118 SAN DIEGO                                  16     7     0  1738  1541  107.575
 119 UTAH                                        9     8     0  1278  1253  107.456
 120 RADFORD                                    14     6     0  1484  1339  107.440
 121 COLORADO                                   10     7     0  1304  1183  107.418
 122 GRAND CANYON                               12     7     0  1413  1265  107.414
 123 SOUTH FLORIDA                              12     6     0  1330  1199  107.409
 124 BRIGHAM YOUNG                              12     9     0  1733  1645  107.407
 125 RUTGERS                                     7     9     0  1069  1071  107.390
 126 STANFORD                                    9     9     0  1312  1324  107.360
 127 UC-SANTA BARBARA                           14     3     0  1295  1078  107.317
 128 LOYOLA MARYMOUNT                           14     5     0  1327  1184  107.315
 129 UTAH VALLEY ST                             13     7     0  1541  1445  107.299
 130 VANDERBILT                                  9     8     0  1302  1207  107.272
 131 GEORGIA SOUTHERN                           11     7     0  1544  1411  107.269
 132 CENTRAL MICHIGAN                           14     4     0  1553  1375  107.268
 133 SMU                                        11     7     0  1329  1215  107.213
 134 TEXAS A&M                                   7     9     0  1165  1170  107.198
 135 PRINCETON                                   9     5     0   983   994  107.184
 136 JACKSONVILLE ST                            14     5     0  1455  1252  107.173
 137 BUCKNELL                                   11     7     0  1357  1346  107.078
 138 RHODE ISLAND                               10     7     0  1209  1128  107.072
 139 ST ANSELM                                  15     2     0  1496  1259  107.050
 140 MONTANA                                    13     6     0  1447  1277  107.049
 141 NEW JERSEY TECH                            14     5     0  1348  1278  107.036
 142 LOUISIANA TECH                             13     7     0  1485  1356  107.023
 143 WESTERN KENTUCKY                            9     9     0  1307  1291  106.957
 144 ASHLAND                                    16     1     0  1336  1040  106.901
 145 LEHIGH                                     11     6     0  1363  1319  106.890
 146 INDIANA PA                                 15     1     0  1304  1118  106.866
 147 ABILENE CHRISTIAN                          16     3     0  1444  1214  106.848
