Rank,Team,Won,Lost,Tied,PF,PA,Rating
276,WOOSTER,12,1,0,1040,868,103.140
277,PALM BEACH ATL.,11,2,0,1062,902,103.136
278,MINNESOTA ST.,9,7,0,1239,1180,103.079
279,WILLIAM & MARY,8,7,0,1239,1140,103.076
280,HAMPTON,8,7,0,1121,1051,103.056
281,CENTRAL MICH.,6,7,0,954,906,103.053
282,LINCOLN MEMORIAL,9,2,0,913,809,103.044
283,NORTHERN ARIZ.,10,5,0,1225,1076,103.041
284,MARSHALL,8,8,0,1198,1141,103.032
285,HAMPDEN-SYDNEY,10,2,0,988,849,103.027
286,ASSUMPTION,11,2,0,1103,972,103.024
287,BALL ST.,7,6,0,981,913,103.013
288,STOCKTON,10,2,0,1039,942,103.008
289,MICHIGAN TECH,9,4,0,1017,891,102.981
290,BETHUNE-COOKMAN,4,10,0,902,1037,102.978
291,SIUE,9,6,0,1096,985,102.973
292,DENISON,11,1,0,945,778,102.972
293,MSU MOORHEAD,10,4,0,1012,930,102.968
294,SFA,7,7,0,898,868,102.936
295,FORT HAYS ST.,9,4,0,907,776,102.900
296,SIENA,7,8,0,1055,1089,102.897
297,HAMILTON,11,1,0,899,768,102.858
298,FRESNO ST.,4,11,0,1112,1234,102.846
299,MIAMI (FL),4,10,0,1097,1052,102.829
300,GARDNER-WEBB,6,9,0,1091,1149,102.826
301,EASTERN MICH.,7,6,0,922,981,102.822
302,VALDOSTA ST.,11,2,0,1218,1061,102.800
303,LEWIS,9,3,0,914,872,102.796
304,WEST CHESTER,11,2,0,1004,921,102.794
305,NORTHWEST NAZARENE,10,1,0,820,751,102.781
306,LEHIGH,6,7,0,934,965,102.778
307,ABILENE CHRISTIAN,8,8,0,1154,1137,102.761
308,IDAHO ST.,6,7,0,978,873,102.732
309,SOUTHERN ILL.,5,10,0,1066,1130,102.728
310,MONT. ST. BILLINGS,11,5,0,1194,1138,102.719
311,CSUSB,11,4,0,1123,996,102.716
312,OMAHA,8,9,0,1232,1274,102.713
313,UTSA,6,7,0,1029,1020,102.701
314,ROCKY MOUNTAIN,1,1,0,172,174,102.690
315,IDAHO,6,9,0,1117,1118,102.684
316,SOUTHERN U.,6,8,0,1059,1008,102.684
317,TRINITY (CT),11,1,0,966,682,102.683
318,RICHMOND,7,8,0,1069,1095,102.679
319,COKER,11,2,0,1421,1279,102.667
320,SAINT JOHN'S (MN),11,2,0,978,802,102.661
321,MANHATTAN,7,6,0,1005,1023,102.655
322,AMERICAN,7,8,0,1050,1085,102.652
323,ST. MARY'S (TX),8,4,0,866,795,102.650
324,MO.-ST. LOUIS,6,6,0,774,799,102.610
325,UALBANY,8,8,0,1230,1193,102.605
326,PORTLAND ST.,8,6,0,1137,1019,102.603
327,SOUTHEAST MO. ST.,8,7,0,1115,1015,102.598
328,DELAWARE,8,7,0,1175,1139,102.591
329,TENNESSEE TECH,8,7,0,1104,1124,102.573
330,MONTANA ST.,5,10,0,1077,1062,102.538
331,BINGHAMTON,9,7,0,1122,1132,102.500
332,AUSTIN PEAY,6,9,0,987,1068,102.485
333,EASTERN N.M.,9,4,0,1210,911,102.469
334,LYNN,8,4,0,1024,878,102.429
335,STONEHILL,9,8,0,1202,1206,102.423
336,DETROIT MERCY,6,11,0,1164,1264,102.409
337,ROCKHURST,10,3,0,1038,922,102.408
338,ROGERS ST.,12,5,0,1322,1165,102.407
339,TEX. PERMIAN BASIN,10,4,0,1057,1002,102.395
340,OKLA. BAPTIST,9,3,0,946,829,102.393
341,BRYANT,7,9,0,1322,1256,102.340
342,EASTERN WASH.,5,10,0,1138,1181,102.338
343,LOYOLA MARYLAND,6,7,0,924,919,102.310
344,KY. WESLEYAN,10,3,0,1021,881,102.274
345,FIU,7,8,0,1119,1052,102.263
346,CAL LUTHERAN,9,4,0,1038,959,102.245
347,MASSACHUSETTS,5,10,0,1103,1125,102.232
348,UINDY,8,5,0,1003,992,102.216
349,CHICO ST.,10,2,0,969,867,102.210
350,MARY HARDIN-BAYLOR,11,3,0,1098,987,102.172
351,ALABAMA ST.,5,9,0,1076,1113,102.160
352,ADELPHI,14,4,0,1360,1204,102.155
353,TARLETON ST.,6,10,0,1048,1166,102.154
354,REDLANDS,10,2,0,1085,915,102.120
355,MISSOURI WESTERN,10,4,0,987,914,102.118
356,BUCKNELL,5,10,0,1035,1119,102.112
357,MONTEVALLO,10,3,0,1065,971,102.104
358,TAMPA,10,3,0,1205,1052,102.104
359,CATHOLIC,9,2,0,823,721,102.095
360,OLD DOMINION,6,9,0,1042,1124,102.093
361,LINCOLN (MO),10,4,0,981,836,102.087
362,TUFTS,12,2,0,1128,932,102.076
363,PRESBYTERIAN,8,9,0,1300,1163,102.075
