Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 ARIZONA                                    32     3     0  2971  2346  111.714
   2 GONZAGA                                    27     3     0  2659  1957  111.486
   3 KANSAS                                     29     6     0  2758  2377  111.410
   4 BAYLOR                                     26     6     0  2448  2036  111.201
   5 VILLANOVA                                  26     7     0  2397  2082  111.089
   6 TENNESSEE                                  26     7     0  2415  2071  110.989
   7 AUBURN                                     28     5     0  2587  2199  110.878
   8 UCLA                                       26     7     0  2544  2135  110.628
   9 PURDUE                                     28     7     0  2799  2402  110.544
  10 PROVIDENCE                                 25     5     0  2154  2010  110.489
  11 KENTUCKY                                   27     7     0  2702  2249  110.483
  12 HOUSTON                                    30     5     0  2656  2053  110.466
  13 WISCONSIN                                  24     7     0  2192  2063  110.348
  14 TEXAS TECH                                 25     9     0  2438  2051  110.231
  15 DUKE                                       28     6     0  2726  2283  110.048
  16 COLORADO ST.                               25     5     0  2212  1972  110.040
  17 SAINT MARY'S (CA)                          25     7     0  2232  1936  109.747
  18 ILLINOIS                                   22     9     0  2349  2097  109.745
  19 ARKANSAS                                   25     8     0  2539  2262  109.737
  20 UCONN                                      23     9     0  2406  2085  109.731
  21 SAN DIEGO ST.                              24     7     0  2046  1774  109.720
  22 BOISE ST.                                  27     7     0  2336  2066  109.688
  23 IOWA                                       27     9     0  3031  2542  109.629
  24 SOUTHERN CALIFORNIA                        25     7     0  2337  2132  109.315
  25 TEXAS                                      22    11     0  2283  1941  109.177
  26 LSU                                        22    11     0  2413  2097  109.140
  27 MICHIGAN ST.                               23    12     0  2534  2387  109.131
  28 SETON HALL                                 22    10     0  2370  2104  109.024
  29 CREIGHTON                                  22    11     0  2278  2176  109.022
  30 ALABAMA                                    19    13     0  2559  2445  108.966
  31 SAN FRANCISCO                              23     9     0  2438  2151  108.868
  32 WYOMING                                    25     8     0  2408  2161  108.850
  33 NORTH CAROLINA                             25     9     0  2641  2422  108.832
  34 MURRAY ST.                                 30     2     0  2538  1993  108.809
  35 MARQUETTE                                  20    12     0  2404  2237  108.756
  36 OHIO ST.                                   20    11     0  2296  2100  108.729
  37 TCU                                        20    12     0  2179  2080  108.670
  38 XAVIER                                     21    13     0  2536  2329  108.567
  39 TEXAS A&M                                  26    12     0  2773  2534  108.506
  40 IOWA ST.                                   20    12     0  2127  2016  108.494
  41 MEMPHIS                                    21    10     0  2338  2120  108.423
  42 DAVIDSON                                   28     6     0  2592  2226  108.391
  43 MICHIGAN                                   18    14     0  2351  2220  108.329
  44 LOYOLA CHICAGO                             25     7     0  2362  1975  108.317
  45 WAKE FOREST                                25     9     0  2697  2385  108.265
  46 MIAMI (FL)                                 23    10     0  2469  2344  108.264
  47 INDIANA                                    20    13     0  2359  2176  108.233
  48 VIRGINIA TECH                              23    12     0  2476  2180  108.142
  49 BYU                                        25    10     0  2604  2360  108.133
  50 OKLAHOMA                                   20    16     0  2523  2333  108.129
  51 SMU                                        24     9     0  2436  2215  108.062
  52 VCU                                        23    10     0  2220  2052  108.001
  53 ST. BONAVENTURE                            23     9     0  2275  2113  107.999
  54 NORTH TEXAS                                25     7     0  2083  1783  107.985
  55 NOTRE DAME                                 23    10     0  2398  2183  107.937
  56 NEW MEXICO ST.                             26     6     0  2346  2081  107.842
  57 COLORADO                                   21    12     0  2345  2224  107.792
  58 FLORIDA                                    20    14     0  2401  2244  107.738
  59 SOUTH DAKOTA ST.                           30     4     0  2948  2495  107.692
  60 WASHINGTON ST.                             21    14     0  2511  2270  107.680
  61 OKLAHOMA ST.                               16    15     0  2127  2038  107.654
  62 UAB                                        28     7     0  2844  2324  107.570
  63 OREGON                                     20    15     0  2532  2440  107.551
